time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:19.555,mercedes,mercedes,,valtteri-bottas,1,pirelli,77
1:19.651,mercedes,mercedes,,lewis-hamilton,2,pirelli,44
1:19.966,red-bull,honda,,max-verstappen,3,pirelli,33
1:19.989,mclaren,mercedes,,lando-norris,4,pirelli,4
1:19.995,mclaren,mercedes,,daniel-ricciardo,5,pirelli,3
1:20.260,alphatauri,honda,,pierre-gasly,6,pirelli,10
1:20.462,ferrari,ferrari,,carlos-sainz-jr,7,pirelli,55
1:20.510,ferrari,ferrari,,charles-leclerc,8,pirelli,16
1:20.611,red-bull,honda,,sergio-perez,9,pirelli,11
1:20.808,alfa-romeo,ferrari,,antonio-giovinazzi,10,pirelli,99
1:20.913,aston-martin,mercedes,,sebastian-vettel,11,pirelli,5
1:21.020,aston-martin,mercedes,,lance-stroll,12,pirelli,18
1:21.069,alpine,renault,,fernando-alonso,13,pirelli,14
1:21.103,alpine,renault,,esteban-ocon,14,pirelli,31
1:21.392,williams,mercedes,,george-russell,15,pirelli,63
1:21.925,williams,mercedes,,nicholas-latifi,16,pirelli,6
1:21.973,alphatauri,honda,,yuki-tsunoda,17,pirelli,22
1:22.248,haas,ferrari,,mick-schumacher,18,pirelli,47
1:22.530,alfa-romeo,ferrari,,robert-kubica,19,pirelli,88
1:22.716,haas,ferrari,,nikita-mazepin,20,pirelli,9
