time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
,red-bull,honda,,max-verstappen,1,pirelli,33
,mclaren,mercedes,,daniel-ricciardo,2,pirelli,3
,mclaren,mercedes,,lando-norris,3,pirelli,4
,mercedes,mercedes,,lewis-hamilton,4,pirelli,44
,ferrari,ferrari,,charles-leclerc,5,pirelli,16
,ferrari,ferrari,,carlos-sainz-jr,6,pirelli,55
,alfa-romeo,ferrari,,antonio-giovinazzi,7,pirelli,99
,red-bull,honda,,sergio-perez,8,pirelli,11
,aston-martin,mercedes,,lance-stroll,9,pirelli,18
,alpine,renault,,fernando-alonso,10,pirelli,14
,aston-martin,mercedes,,sebastian-vettel,11,pirelli,5
,alpine,renault,,esteban-ocon,12,pirelli,31
,williams,mercedes,,nicholas-latifi,13,pirelli,6
,williams,mercedes,,george-russell,14,pirelli,63
,alphatauri,honda,,yuki-tsunoda,15,pirelli,22
,haas,ferrari,,nikita-mazepin,16,pirelli,9
,alfa-romeo,ferrari,,robert-kubica,17,pirelli,88
,haas,ferrari,,mick-schumacher,18,pirelli,47
,mercedes,mercedes,SFB,valtteri-bottas,19,pirelli,77
,alphatauri,honda,SFB,pierre-gasly,PL,pirelli,10
