time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:37.423,mclaren,mercedes,,,lando-norris,1,pirelli,39,4
1:37.575,mercedes,mercedes,+0.152,+0.152,lewis-hamilton,2,pirelli,43,44
1:38.216,mercedes,mercedes,+0.641,+0.793,valtteri-bottas,3,pirelli,31,77
1:38.279,alphatauri,honda,+0.063,+0.856,pierre-gasly,4,pirelli,35,10
1:38.396,red-bull,honda,+0.117,+0.973,max-verstappen,5,pirelli,28,33
1:38.686,alpine,renault,+0.290,+1.263,fernando-alonso,6,pirelli,44,14
1:38.994,ferrari,ferrari,+0.308,+1.571,charles-leclerc,7,pirelli,45,16
1:39.058,alfa-romeo,ferrari,+0.064,+1.635,antonio-giovinazzi,8,pirelli,39,99
1:39.124,mclaren,mercedes,+0.066,+1.701,daniel-ricciardo,9,pirelli,24,3
1:39.215,red-bull,honda,+0.091,+1.792,sergio-perez,10,pirelli,45,11
1:39.251,aston-martin,mercedes,+0.036,+1.828,sebastian-vettel,11,pirelli,44,5
1:39.294,ferrari,ferrari,+0.043,+1.871,carlos-sainz-jr,12,pirelli,40,55
1:39.960,alphatauri,honda,+0.666,+2.537,yuki-tsunoda,13,pirelli,42,22
1:40.000,williams,mercedes,+0.040,+2.577,nicholas-latifi,14,pirelli,42,6
1:40.276,haas,ferrari,+0.276,+2.853,mick-schumacher,15,pirelli,22,47
1:40.289,alfa-romeo,ferrari,+0.013,+2.866,kimi-raikkonen,16,pirelli,34,7
1:40.464,aston-martin,mercedes,+0.175,+3.041,lance-stroll,17,pirelli,35,18
1:40.596,williams,mercedes,+0.132,+3.173,george-russell,18,pirelli,40,63
1:40.598,alpine,renault,+0.002,+3.175,esteban-ocon,19,pirelli,34,31
1:41.713,haas,ferrari,+1.115,+4.290,nikita-mazepin,20,pirelli,24,9
