time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:30.432,mercedes,mercedes,,,valtteri-bottas,1,pirelli,58,77
1:31.921,ferrari,ferrari,+1.489,+1.489,carlos-sainz-jr,2,pirelli,49,55
1:32.446,mclaren,mercedes,+0.525,+2.014,lando-norris,3,pirelli,50,4
1:32.459,red-bull,honda,+0.013,+2.027,sergio-perez,4,pirelli,53,11
1:32.586,alfa-romeo,ferrari,+0.127,+2.154,kimi-raikkonen,5,pirelli,50,7
1:32.608,aston-martin,mercedes,+0.022,+2.176,lance-stroll,6,pirelli,58,18
1:32.730,aston-martin,mercedes,+0.122,+2.298,sebastian-vettel,7,pirelli,54,5
1:32.737,ferrari,ferrari,+0.007,+2.305,charles-leclerc,8,pirelli,57,16
1:32.759,red-bull,honda,+0.022,+2.327,max-verstappen,9,pirelli,53,33
1:32.763,mercedes,mercedes,+0.004,+2.331,lewis-hamilton,10,pirelli,52,44
1:32.814,alphatauri,honda,+0.051,+2.382,pierre-gasly,11,pirelli,50,10
1:32.844,alphatauri,honda,+0.030,+2.412,yuki-tsunoda,12,pirelli,54,22
1:32.904,alfa-romeo,ferrari,+0.060,+2.472,antonio-giovinazzi,13,pirelli,57,99
1:33.252,alpine,renault,+0.348,+2.820,fernando-alonso,14,pirelli,55,14
1:33.255,mclaren,mercedes,+0.003,+2.823,daniel-ricciardo,15,pirelli,34,3
1:33.399,williams,mercedes,+0.144,+2.967,george-russell,16,pirelli,53,63
1:33.672,williams,mercedes,+0.273,+3.240,nicholas-latifi,17,pirelli,48,6
1:34.209,haas,ferrari,+0.537,+3.777,mick-schumacher,18,pirelli,52,47
1:34.584,alpine,renault,+0.375,+4.152,esteban-ocon,19,pirelli,24,31
1:35.438,haas,ferrari,+0.854,+5.006,nikita-mazepin,20,pirelli,52,9
