time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:23.804,mercedes,mercedes,,,30,lewis-hamilton,1,pirelli,44
1:23.970,ferrari,ferrari,+0.166,+0.166,29,charles-leclerc,2,pirelli,16
1:24.214,mercedes,mercedes,+0.244,+0.410,31,valtteri-bottas,3,pirelli,77
1:24.373,red-bull,honda,+0.159,+0.569,28,sergio-perez,4,pirelli,11
1:24.439,red-bull,honda,+0.066,+0.635,27,max-verstappen,5,pirelli,33
1:24.525,mclaren,mercedes,+0.086,+0.721,24,lando-norris,6,pirelli,4
1:24.660,alpine,renault,+0.135,+0.856,21,fernando-alonso,7,pirelli,14
1:24.672,alpine,renault,+0.012,+0.868,26,esteban-ocon,8,pirelli,31
1:24.756,alphatauri,honda,+0.084,+0.952,32,pierre-gasly,9,pirelli,10
1:24.796,alfa-romeo,ferrari,+0.040,+0.992,29,antonio-giovinazzi,10,pirelli,99
1:24.882,alphatauri,honda,+0.086,+1.078,30,yuki-tsunoda,11,pirelli,22
1:24.903,ferrari,ferrari,+0.021,+1.099,34,carlos-sainz-jr,12,pirelli,55
1:25.020,aston-martin,mercedes,+0.117,+1.216,31,lance-stroll,13,pirelli,18
1:25.060,mclaren,mercedes,+0.040,+1.256,23,daniel-ricciardo,14,pirelli,3
1:25.143,alfa-romeo,ferrari,+0.083,+1.339,27,kimi-raikkonen,15,pirelli,7
1:25.229,aston-martin,mercedes,+0.086,+1.425,30,sebastian-vettel,16,pirelli,5
1:25.307,williams,mercedes,+0.078,+1.503,30,nicholas-latifi,17,pirelli,6
1:25.358,williams,mercedes,+0.051,+1.554,29,george-russell,18,pirelli,63
1:25.480,haas,ferrari,+0.122,+1.676,26,mick-schumacher,19,pirelli,47
1:25.698,haas,ferrari,+0.218,+1.894,25,nikita-mazepin,20,pirelli,9
