time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
23.028,mclaren,mercedes,1,daniel-ricciardo,1,pirelli,21,3
29.116,alpine,renault,1,fernando-alonso,2,pirelli,30,14
23.239,mclaren,mercedes,1,lando-norris,3,pirelli,34,4
24.104,williams,mercedes,1,nicholas-latifi,4,pirelli,34,6
23.329,alphatauri,honda,1,yuki-tsunoda,5,pirelli,35,22
23.551,williams,mercedes,1,george-russell,6,pirelli,35,63
22.442,red-bull,honda,1,max-verstappen,7,pirelli,36,33
28.353,ferrari,ferrari,1,carlos-sainz-jr,8,pirelli,36,55
23.829,haas,ferrari,1,nikita-mazepin,9,pirelli,35,9
23.500,aston-martin,mercedes,1,sebastian-vettel,10,pirelli,36,5
22.962,mercedes,mercedes,1,valtteri-bottas,11,pirelli,37,77
22.463,red-bull,honda,1,sergio-perez,12,pirelli,37,11
23.164,alfa-romeo,ferrari,1,kimi-raikkonen,13,pirelli,37,7
23.514,aston-martin,mercedes,2,sebastian-vettel,14,pirelli,37,5
29.310,alphatauri,honda,1,pierre-gasly,15,pirelli,39,10
35.509,aston-martin,mercedes,1,lance-stroll,16,pirelli,39,18
23.892,haas,ferrari,1,mick-schumacher,17,pirelli,39,47
23.150,alfa-romeo,ferrari,1,antonio-giovinazzi,18,pirelli,40,99
23.646,ferrari,ferrari,1,charles-leclerc,19,pirelli,47,16
22.684,mercedes,mercedes,1,lewis-hamilton,20,pirelli,50,44
