time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:22.998,mercedes,mercedes,,valtteri-bottas,1,pirelli,77
1:23.196,red-bull,honda,,max-verstappen,2,pirelli,33
1:23.265,ferrari,ferrari,,charles-leclerc,3,pirelli,16
1:23.326,alphatauri,honda,,pierre-gasly,4,pirelli,10
1:23.477,alpine,renault,,fernando-alonso,5,pirelli,14
1:23.706,red-bull,honda,,sergio-perez,6,pirelli,11
1:23.954,mclaren,mercedes,,lando-norris,7,pirelli,4
1:24.305,aston-martin,mercedes,,lance-stroll,8,pirelli,18
1:24.368,alphatauri,honda,,yuki-tsunoda,9,pirelli,22
1:24.795,aston-martin,mercedes,,sebastian-vettel,10,pirelli,5
1:22.868,mercedes,mercedes,10,lewis-hamilton,11,pirelli,44
1:24.842,alpine,renault,,esteban-ocon,12,pirelli,31
1:25.007,williams,mercedes,,george-russell,13,pirelli,63
1:25.200,haas,ferrari,,mick-schumacher,14,pirelli,47
1:26.086,williams,mercedes,,nicholas-latifi,15,pirelli,6
1:26.430,alfa-romeo,ferrari,,antonio-giovinazzi,16,pirelli,99
1:27.525,alfa-romeo,ferrari,,kimi-raikkonen,17,pirelli,7
1:28.449,haas,ferrari,,nikita-mazepin,18,pirelli,9
,ferrari,ferrari,SFB,carlos-sainz-jr,19,pirelli,55
1:25.881,mclaren,mercedes,SFB,daniel-ricciardo,20,pirelli,3
