time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:15.875,mercedes,mercedes,,valtteri-bottas,1,pirelli,77
1:16.020,mercedes,mercedes,,lewis-hamilton,2,pirelli,44
1:16.225,red-bull,honda,,max-verstappen,3,pirelli,33
1:16.342,red-bull,honda,,sergio-perez,4,pirelli,11
1:16.456,alphatauri,honda,,pierre-gasly,5,pirelli,10
1:16.761,ferrari,ferrari,,carlos-sainz-jr,6,pirelli,55
1:16.763,mclaren,mercedes,,daniel-ricciardo,7,pirelli,3
1:16.837,ferrari,ferrari,,charles-leclerc,8,pirelli,16
1:17.746,aston-martin,mercedes,,sebastian-vettel,9,pirelli,5
1:17.958,alfa-romeo,ferrari,,kimi-raikkonen,10,pirelli,7
1:18.290,alfa-romeo,ferrari,,antonio-giovinazzi,11,pirelli,99
1:18.452,alpine,renault,,fernando-alonso,12,pirelli,14
1:18.756,williams,mercedes,,nicholas-latifi,13,pirelli,6
1:18.858,haas,ferrari,,mick-schumacher,14,pirelli,47
1:19.303,haas,ferrari,,nikita-mazepin,15,pirelli,9
1:18.172,williams,mercedes,5,george-russell,16,pirelli,63
1:17.158,alphatauri,honda,SFB,yuki-tsunoda,17,pirelli,22
1:36.830,mclaren,mercedes,SFB,lando-norris,18,pirelli,4
1:18.405,alpine,renault,SFB,esteban-ocon,19,pirelli,31
1:20.873,aston-martin,mercedes,SFB,lance-stroll,20,pirelli,18
