time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:11.010,red-bull,honda,,,sergio-perez,1,pirelli,71,11
1:11.982,mercedes,mercedes,+0.972,+0.972,lewis-hamilton,2,pirelli,46,44
1:12.486,red-bull,honda,+0.504,+1.476,max-verstappen,3,pirelli,47,33
1:12.526,mercedes,mercedes,+0.040,+1.516,valtteri-bottas,4,pirelli,49,77
1:12.621,alfa-romeo,ferrari,+0.095,+1.611,kimi-raikkonen,5,pirelli,54,7
1:12.710,ferrari,ferrari,+0.089,+1.700,carlos-sainz-jr,6,pirelli,63,55
1:12.822,ferrari,ferrari,+0.112,+1.812,charles-leclerc,7,pirelli,61,16
1:13.227,alphatauri,honda,+0.405,+2.217,pierre-gasly,8,pirelli,53,10
1:13.634,aston-martin,mercedes,+0.407,+2.624,sebastian-vettel,9,pirelli,69,5
1:13.761,mclaren,mercedes,+0.127,+2.751,lando-norris,10,pirelli,53,4
1:13.793,haas,ferrari,+0.032,+2.783,mick-schumacher,11,pirelli,66,47
1:13.922,alpine,renault,+0.129,+2.912,fernando-alonso,12,pirelli,37,14
1:14.204,alphatauri,honda,+0.282,+3.194,yuki-tsunoda,13,pirelli,62,22
1:14.227,alfa-romeo,ferrari,+0.023,+3.217,antonio-giovinazzi,14,pirelli,44,99
1:14.355,williams,mercedes,+0.128,+3.345,george-russell,15,pirelli,45,63
1:14.430,alpine,renault,+0.075,+3.420,esteban-ocon,16,pirelli,48,31
1:14.443,mclaren,mercedes,+0.013,+3.433,daniel-ricciardo,17,pirelli,40,3
1:14.616,williams,mercedes,+0.173,+3.606,nicholas-latifi,18,pirelli,57,6
1:14.954,haas,ferrari,+0.338,+3.944,nikita-mazepin,19,pirelli,36,9
1:15.344,aston-martin,mercedes,+0.390,+4.334,lance-stroll,20,pirelli,25,18
