time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:11.238,alpine,renault,,,23,fernando-alonso,1,pirelli,14
1:12.102,red-bull,honda,+0.864,+0.864,26,max-verstappen,2,pirelli,33
1:12.355,mercedes,mercedes,+0.253,+1.117,24,valtteri-bottas,3,pirelli,77
1:12.407,alpine,renault,+0.052,+1.169,26,esteban-ocon,4,pirelli,31
1:12.741,mercedes,mercedes,+0.334,+1.503,25,lewis-hamilton,5,pirelli,44
1:12.903,red-bull,honda,+0.162,+1.665,29,sergio-perez,6,pirelli,11
1:12.997,alfa-romeo,ferrari,+0.094,+1.759,37,antonio-giovinazzi,7,pirelli,99
1:13.078,ferrari,ferrari,+0.081,+1.840,31,carlos-sainz-jr,8,pirelli,55
1:13.099,ferrari,ferrari,+0.021,+1.861,33,charles-leclerc,9,pirelli,16
1:13.355,alfa-romeo,ferrari,+0.256,+2.117,39,kimi-raikkonen,10,pirelli,7
1:13.426,aston-martin,mercedes,+0.071,+2.188,41,lance-stroll,11,pirelli,18
1:13.448,mclaren,mercedes,+0.022,+2.210,25,daniel-ricciardo,12,pirelli,3
1:13.581,mclaren,mercedes,+0.133,+2.343,23,lando-norris,13,pirelli,4
1:13.608,alphatauri,honda,+0.027,+2.370,32,pierre-gasly,14,pirelli,10
1:13.615,williams,mercedes,+0.007,+2.377,24,george-russell,15,pirelli,63
1:13.726,alphatauri,honda,+0.111,+2.488,38,yuki-tsunoda,16,pirelli,22
1:13.747,aston-martin,mercedes,+0.021,+2.509,42,sebastian-vettel,17,pirelli,5
1:14.025,williams,mercedes,+0.278,+2.787,24,nicholas-latifi,18,pirelli,6
1:14.066,haas,ferrari,+0.041,+2.828,40,mick-schumacher,19,pirelli,47
1:14.909,haas,ferrari,+0.843,+3.671,37,nikita-mazepin,20,pirelli,9
