q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:09.329,red-bull,1:08.499,honda,+0.438,+0.438,1:08.372,max-verstappen,17,1,pirelli,33
1:09.040,mercedes,1:08.426,mercedes,+0.097,+0.535,1:08.469,valtteri-bottas,23,2,pirelli,77
1:09.172,red-bull,1:08.973,honda,+0.014,+0.549,1:08.483,sergio-perez,22,3,pirelli,11
1:09.347,alphatauri,1:08.903,honda,+0.294,+0.843,1:08.777,pierre-gasly,18,4,pirelli,10
1:09.046,ferrari,1:09.031,ferrari,+0.049,+0.892,1:08.826,carlos-sainz-jr,19,5,pirelli,55
1:09.155,ferrari,1:08.859,ferrari,+0.134,+1.026,1:08.960,charles-leclerc,22,6,pirelli,16
1:09.365,mclaren,1:09.030,mercedes,+0.020,+1.046,1:08.980,lando-norris,22,7,pirelli,4
1:09.374,mclaren,1:09.093,mercedes,+0.059,+1.105,1:09.039,daniel-ricciardo,22,8,pirelli,3
1:09.391,alpine,1:09.137,renault,+0.074,+1.179,1:09.113,fernando-alonso,19,9,pirelli,14
1:09.430,alpine,1:09.189,renault,,,,esteban-ocon,14,10,pirelli,31
1:09.451,aston-martin,1:09.399,mercedes,,,,sebastian-vettel,15,11,pirelli,5
1:09.350,alphatauri,1:09.483,honda,,,,yuki-tsunoda,9,12,pirelli,22
1:09.598,alfa-romeo,1:09.503,ferrari,,,,kimi-raikkonen,15,13,pirelli,7
1:09.342,alfa-romeo,1:10.227,ferrari,,,,antonio-giovinazzi,14,14,pirelli,99
1:09.663,aston-martin,,mercedes,,,,lance-stroll,9,15,pirelli,18
1:09.897,williams,,mercedes,,,,nicholas-latifi,9,16,pirelli,6
1:09.953,williams,,mercedes,,,,george-russell,10,17,pirelli,63
1:10.329,haas,,ferrari,,,,mick-schumacher,11,18,pirelli,47
1:10.589,haas,,ferrari,,,,nikita-mazepin,10,19,pirelli,9
1:08.733,mercedes,1:08.068,mercedes,,,1:07.934,lewis-hamilton,23,DSQ,pirelli,44
