time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:23.196,red-bull,honda,,,max-verstappen,1,pirelli,57,33
1:25.084,mercedes,mercedes,+1.888,+1.888,lewis-hamilton,2,pirelli,50,44
1:25.613,red-bull,honda,+0.529,+2.417,sergio-perez,3,pirelli,49,11
1:25.746,mclaren,mercedes,+0.133,+2.550,lando-norris,4,pirelli,51,4
1:25.768,williams,mercedes,+0.022,+2.572,george-russell,5,pirelli,55,63
1:26.358,alfa-romeo,ferrari,+0.590,+3.162,kimi-raikkonen,6,pirelli,53,7
1:26.434,aston-martin,mercedes,+0.076,+3.238,sebastian-vettel,7,pirelli,53,5
1:26.555,ferrari,ferrari,+0.121,+3.359,charles-leclerc,8,pirelli,46,16
1:26.570,ferrari,ferrari,+0.015,+3.374,carlos-sainz-jr,9,pirelli,46,55
1:26.682,alpine,renault,+0.112,+3.486,fernando-alonso,10,pirelli,48,14
1:27.019,alphatauri,honda,+0.337,+3.823,pierre-gasly,11,pirelli,46,10
1:27.043,alphatauri,honda,+0.024,+3.847,yuki-tsunoda,12,pirelli,50,22
1:27.061,alpine,renault,+0.018,+3.865,esteban-ocon,13,pirelli,46,31
1:27.198,mclaren,mercedes,+0.137,+4.002,daniel-ricciardo,14,pirelli,50,3
1:27.246,mercedes,mercedes,+0.048,+4.050,valtteri-bottas,15,pirelli,39,77
1:27.340,haas,ferrari,+0.094,+4.144,nikita-mazepin,16,pirelli,55,9
1:27.356,aston-martin,mercedes,+0.016,+4.160,lance-stroll,17,pirelli,44,18
1:27.823,alfa-romeo,ferrari,+0.467,+4.627,antonio-giovinazzi,18,pirelli,40,99
1:28.412,haas,ferrari,+0.589,+5.216,mick-schumacher,19,pirelli,46,47
1:28.732,williams,mercedes,+0.320,+5.536,nicholas-latifi,20,pirelli,44,6
