time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:23.148,mercedes,mercedes,,,27,valtteri-bottas,1,pirelli,77
1:23.357,alphatauri,honda,+0.209,+0.209,27,pierre-gasly,2,pirelli,10
1:23.498,red-bull,honda,+0.141,+0.350,20,max-verstappen,3,pirelli,33
1:23.570,mercedes,mercedes,+0.072,+0.422,25,lewis-hamilton,4,pirelli,44
1:23.632,mclaren,mercedes,+0.062,+0.484,24,lando-norris,5,pirelli,4
1:23.705,aston-martin,mercedes,+0.073,+0.557,26,lance-stroll,6,pirelli,18
1:23.735,alphatauri,honda,+0.030,+0.587,28,yuki-tsunoda,7,pirelli,22
1:23.787,red-bull,honda,+0.052,+0.639,20,sergio-perez,8,pirelli,11
1:24.020,aston-martin,mercedes,+0.233,+0.872,27,sebastian-vettel,9,pirelli,5
1:24.033,ferrari,ferrari,+0.013,+0.885,28,carlos-sainz-jr,10,pirelli,55
1:24.041,alpine,renault,+0.008,+0.893,29,esteban-ocon,11,pirelli,31
1:24.056,alpine,renault,+0.015,+0.908,25,fernando-alonso,12,pirelli,14
1:24.095,ferrari,ferrari,+0.039,+0.947,23,charles-leclerc,13,pirelli,16
1:24.135,mclaren,mercedes,+0.040,+0.987,24,daniel-ricciardo,14,pirelli,3
1:24.631,alfa-romeo,ferrari,+0.496,+1.483,26,kimi-raikkonen,15,pirelli,7
1:24.954,williams,mercedes,+0.323,+1.806,27,george-russell,16,pirelli,63
1:25.072,alfa-romeo,ferrari,+0.118,+1.924,23,antonio-giovinazzi,17,pirelli,99
1:25.209,williams,mercedes,+0.137,+2.061,28,nicholas-latifi,18,pirelli,6
1:25.575,haas,ferrari,+0.366,+2.427,27,mick-schumacher,19,pirelli,47
