time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
25.659,alphatauri,honda,1,yuki-tsunoda,1,pirelli,9,22
26.174,alfa-romeo,ferrari,1,kimi-raikkonen,2,pirelli,10,7
25.630,alphatauri,honda,1,pierre-gasly,3,pirelli,13,10
25.987,alfa-romeo,ferrari,1,antonio-giovinazzi,4,pirelli,15,99
25.300,red-bull,honda,1,max-verstappen,5,pirelli,17,33
26.121,williams,mercedes,1,george-russell,6,pirelli,17,63
25.235,mercedes,mercedes,1,lewis-hamilton,7,pirelli,18,44
25.811,williams,mercedes,1,nicholas-latifi,8,pirelli,18,6
25.419,red-bull,honda,1,sergio-perez,9,pirelli,19,11
25.881,haas,ferrari,1,mick-schumacher,10,pirelli,22,47
25.991,alpine,renault,1,fernando-alonso,11,pirelli,23,14
26.157,aston-martin,mercedes,1,lance-stroll,12,pirelli,23,18
25.517,alpine,renault,1,esteban-ocon,13,pirelli,24,31
25.319,mclaren,mercedes,1,lando-norris,14,pirelli,25,4
25.562,mclaren,mercedes,1,daniel-ricciardo,15,pirelli,26,3
25.726,aston-martin,mercedes,1,sebastian-vettel,16,pirelli,26,5
25.639,ferrari,ferrari,1,carlos-sainz-jr,17,pirelli,27,55
25.799,ferrari,ferrari,1,charles-leclerc,18,pirelli,27,16
25.633,alfa-romeo,ferrari,2,kimi-raikkonen,19,pirelli,30,7
26.515,haas,ferrari,1,nikita-mazepin,20,pirelli,31,9
25.347,alfa-romeo,ferrari,2,antonio-giovinazzi,21,pirelli,32,99
36.341,mercedes,mercedes,1,valtteri-bottas,22,pirelli,33,77
26.674,alphatauri,honda,2,yuki-tsunoda,23,pirelli,34,22
26.109,alphatauri,honda,2,pierre-gasly,24,pirelli,35,10
25.175,red-bull,honda,2,max-verstappen,25,pirelli,41,33
25.420,red-bull,honda,2,sergio-perez,26,pirelli,41,11
25.381,mercedes,mercedes,2,lewis-hamilton,27,pirelli,42,44
26.552,mclaren,mercedes,2,lando-norris,28,pirelli,49,4
35.006,williams,mercedes,2,george-russell,29,pirelli,49,63
25.465,red-bull,honda,3,max-verstappen,30,pirelli,55,33
