q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:21.901,mercedes,1:21.682,mercedes,,,1:20.827,lewis-hamilton,18,1,pirelli,44
1:21.996,red-bull,1:21.984,honda,+0.597,+0.597,1:21.424,max-verstappen,18,2,pirelli,33
1:22.016,mercedes,1:21.991,mercedes,+0.054,+0.651,1:21.478,valtteri-bottas,20,3,pirelli,77
1:22.535,alphatauri,1:21.728,honda,+0.162,+0.813,1:21.640,pierre-gasly,19,4,pirelli,10
1:22.422,alpine,1:21.894,renault,+0.030,+0.843,1:21.670,fernando-alonso,18,5,pirelli,14
1:22.839,mclaren,1:22.216,mercedes,+0.061,+0.904,1:21.731,lando-norris,21,6,pirelli,4
1:22.304,ferrari,1:22.241,ferrari,+0.109,+1.013,1:21.840,carlos-sainz-jr,21,7,pirelli,55
1:22.458,alphatauri,1:22.058,honda,+0.041,+1.054,1:21.881,yuki-tsunoda,18,8,pirelli,22
1:22.565,alpine,1:22.012,renault,+0.147,+1.201,1:22.028,esteban-ocon,18,9,pirelli,31
1:22.549,aston-martin,1:22.146,mercedes,+0.757,+1.958,1:22.785,sebastian-vettel,21,10,pirelli,5
1:22.398,red-bull,1:22.346,honda,,,,sergio-perez,12,11,pirelli,11
1:22.551,aston-martin,1:22.460,mercedes,,,,lance-stroll,15,12,pirelli,18
1:22.742,ferrari,1:22.463,ferrari,,,,charles-leclerc,15,13,pirelli,16
1:22.688,mclaren,1:22.597,mercedes,,,,daniel-ricciardo,15,14,pirelli,3
1:22.863,williams,1:22.756,mercedes,,,,george-russell,16,15,pirelli,63
1:23.156,alfa-romeo,,ferrari,,,,kimi-raikkonen,9,16,pirelli,7
1:23.213,williams,,mercedes,,,,nicholas-latifi,10,17,pirelli,6
1:23.262,alfa-romeo,,ferrari,,,,antonio-giovinazzi,8,18,pirelli,99
1:23.407,haas,,ferrari,,,,mick-schumacher,9,19,pirelli,47
1:25.859,haas,,ferrari,,,,nikita-mazepin,9,20,pirelli,9
