q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:23.322,red-bull,1:22.800,honda,,,1:22.109,max-verstappen,20,1,pirelli,33
1:22.845,mercedes,1:23.145,mercedes,+0.371,+0.371,1:22.480,lewis-hamilton,19,2,pirelli,44
1:23.553,mclaren,1:23.256,mercedes,+0.451,+0.822,1:22.931,lando-norris,20,3,pirelli,4
1:23.350,red-bull,1:23.135,honda,+0.016,+0.838,1:22.947,sergio-perez,24,4,pirelli,11
1:23.624,ferrari,1:23.174,ferrari,+0.045,+0.883,1:22.992,carlos-sainz-jr,22,5,pirelli,55
1:23.117,mercedes,1:23.246,mercedes,+0.044,+0.927,1:23.036,valtteri-bottas,20,6,pirelli,77
1:23.467,ferrari,1:23.202,ferrari,+0.086,+1.013,1:23.122,charles-leclerc,23,7,pirelli,16
1:23.428,alphatauri,1:23.404,honda,+0.098,+1.111,1:23.220,yuki-tsunoda,22,8,pirelli,22
1:23.764,alpine,1:23.420,renault,+0.169,+1.280,1:23.389,esteban-ocon,20,9,pirelli,31
1:23.829,mclaren,1:23.448,mercedes,+0.020,+1.300,1:23.409,daniel-ricciardo,19,10,pirelli,3
1:23.846,alpine,1:23.460,renault,,,,fernando-alonso,12,11,pirelli,14
1:23.489,alphatauri,1:24.043,honda,,,,pierre-gasly,16,12,pirelli,10
1:24.061,aston-martin,1:24.066,mercedes,,,,lance-stroll,17,13,pirelli,18
1:24.118,alfa-romeo,1:24.251,ferrari,,,,antonio-giovinazzi,17,14,pirelli,99
1:24.225,aston-martin,1:24.305,mercedes,,,,sebastian-vettel,18,15,pirelli,5
1:24.338,williams,,mercedes,,,,nicholas-latifi,8,16,pirelli,6
1:24.423,williams,,mercedes,,,,george-russell,7,17,pirelli,63
1:24.779,alfa-romeo,,ferrari,,,,kimi-raikkonen,8,18,pirelli,7
1:24.906,haas,,ferrari,,,,mick-schumacher,9,19,pirelli,47
1:25.685,haas,,ferrari,,,,nikita-mazepin,9,20,pirelli,9
