time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:34.570,ferrari,ferrari,,,charles-leclerc,1,pirelli,51,16
1:35.440,red-bull,rbpt,+0.870,+0.870,max-verstappen,2,pirelli,51,1
1:35.740,ferrari,ferrari,+0.300,+1.170,carlos-sainz-jr,3,pirelli,52,55
1:36.089,red-bull,rbpt,+0.349,+1.519,sergio-perez,4,pirelli,52,11
1:36.228,mercedes,mercedes,+0.139,+1.658,lewis-hamilton,5,pirelli,53,44
1:36.302,mercedes,mercedes,+0.074,+1.732,george-russell,6,pirelli,56,63
1:36.599,alfa-romeo,ferrari,+0.297,+2.029,valtteri-bottas,7,pirelli,53,77
1:36.623,haas,ferrari,+0.024,+2.053,kevin-magnussen,8,pirelli,53,20
1:36.685,alfa-romeo,ferrari,+0.062,+2.115,guanyu-zhou,9,pirelli,39,24
1:36.733,alpine,renault,+0.048,+2.163,fernando-alonso,10,pirelli,44,14
1:36.956,haas,ferrari,+0.223,+2.386,mick-schumacher,11,pirelli,37,47
1:36.988,mclaren,mercedes,+0.032,+2.418,lando-norris,12,pirelli,51,4
1:37.104,alphatauri,rbpt,+0.116,+2.534,yuki-tsunoda,13,pirelli,53,22
1:37.110,alpine,renault,+0.006,+2.540,esteban-ocon,14,pirelli,53,31
1:37.146,aston-martin,mercedes,+0.036,+2.576,lance-stroll,15,pirelli,49,18
1:37.261,mclaren,mercedes,+0.115,+2.691,daniel-ricciardo,16,pirelli,50,3
1:37.324,alphatauri,rbpt,+0.063,+2.754,pierre-gasly,17,pirelli,34,10
1:37.355,williams,mercedes,+0.031,+2.785,alexander-albon,18,pirelli,50,23
1:38.201,aston-martin,mercedes,+0.846,+3.631,nico-hulkenberg,19,pirelli,49,27
1:38.251,williams,mercedes,+0.050,+3.681,nicholas-latifi,20,pirelli,51,6
