q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:31.471,ferrari,1:30.932,ferrari,,,1:30.558,charles-leclerc,15,1,pirelli,16
1:31.785,red-bull,1:30.757,rbpt,+0.123,+0.123,1:30.681,max-verstappen,14,2,pirelli,1
1:31.567,ferrari,1:30.787,ferrari,+0.006,+0.129,1:30.687,carlos-sainz-jr,15,3,pirelli,55
1:32.311,red-bull,1:31.008,rbpt,+0.234,+0.363,1:30.921,sergio-perez,18,4,pirelli,11
1:32.285,mercedes,1:31.048,mercedes,+0.317,+0.680,1:31.238,lewis-hamilton,17,5,pirelli,44
1:31.919,alfa-romeo,1:31.717,ferrari,+0.322,+1.002,1:31.560,valtteri-bottas,15,6,pirelli,77
1:31.955,haas,1:31.461,ferrari,+0.248,+1.250,1:31.808,kevin-magnussen,12,7,pirelli,20
1:32.346,alpine,1:31.621,renault,+0.387,+1.637,1:32.195,fernando-alonso,14,8,pirelli,14
1:32.269,mercedes,1:31.252,mercedes,+0.021,+1.658,1:32.216,george-russell,17,9,pirelli,63
1:32.096,alphatauri,1:31.635,rbpt,+0.122,+1.780,1:32.338,pierre-gasly,21,10,pirelli,10
1:32.041,alpine,1:31.782,renault,,,,esteban-ocon,12,11,pirelli,31
1:32.380,haas,1:31.998,ferrari,,,,mick-schumacher,11,12,pirelli,47
1:32.239,mclaren,1:32.008,mercedes,,,,lando-norris,14,13,pirelli,4
1:32.726,williams,1:32.664,mercedes,,,,alexander-albon,13,14,pirelli,23
1:32.493,alfa-romeo,1:33.543,ferrari,,,,guanyu-zhou,12,15,pirelli,24
1:32.750,alphatauri,,rbpt,,,,yuki-tsunoda,8,16,pirelli,22
1:32.777,aston-martin,,mercedes,,,,nico-hulkenberg,6,17,pirelli,27
1:32.945,mclaren,,mercedes,,,,daniel-ricciardo,8,18,pirelli,3
1:33.032,aston-martin,,mercedes,,,,lance-stroll,6,19,pirelli,18
1:33.634,williams,,mercedes,,,,nicholas-latifi,8,20,pirelli,6
