time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:30.558,ferrari,ferrari,,charles-leclerc,1,pirelli,16
1:30.681,red-bull,rbpt,,max-verstappen,2,pirelli,1
1:30.687,ferrari,ferrari,,carlos-sainz-jr,3,pirelli,55
1:30.921,red-bull,rbpt,,sergio-perez,4,pirelli,11
1:31.238,mercedes,mercedes,,lewis-hamilton,5,pirelli,44
1:31.560,alfa-romeo,ferrari,,valtteri-bottas,6,pirelli,77
1:31.808,haas,ferrari,,kevin-magnussen,7,pirelli,20
1:32.195,alpine,renault,,fernando-alonso,8,pirelli,14
1:32.216,mercedes,mercedes,,george-russell,9,pirelli,63
1:32.338,alphatauri,rbpt,,pierre-gasly,10,pirelli,10
1:31.782,alpine,renault,,esteban-ocon,11,pirelli,31
1:31.998,haas,ferrari,,mick-schumacher,12,pirelli,47
1:32.008,mclaren,mercedes,,lando-norris,13,pirelli,4
1:32.664,williams,mercedes,,alexander-albon,14,pirelli,23
1:33.543,alfa-romeo,ferrari,,guanyu-zhou,15,pirelli,24
1:32.750,alphatauri,rbpt,,yuki-tsunoda,16,pirelli,22
1:32.777,aston-martin,mercedes,,nico-hulkenberg,17,pirelli,27
1:32.945,mclaren,mercedes,,daniel-ricciardo,18,pirelli,3
1:33.032,aston-martin,mercedes,,lance-stroll,19,pirelli,18
1:33.634,williams,mercedes,,nicholas-latifi,20,pirelli,6
