q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:18.881,ferrari,1:18.606,ferrari,,,1:17.868,charles-leclerc,21,1,pirelli,16
1:18.580,red-bull,1:18.611,rbpt,+0.286,+0.286,1:18.154,max-verstappen,21,2,pirelli,1
1:18.834,red-bull,1:18.340,rbpt,+0.086,+0.372,1:18.240,sergio-perez,21,3,pirelli,11
1:19.280,mclaren,1:19.066,mercedes,+0.463,+0.835,1:18.703,lando-norris,20,4,pirelli,4
1:19.401,mercedes,1:19.106,mercedes,+0.122,+0.957,1:18.825,lewis-hamilton,28,5,pirelli,44
1:19.405,mercedes,1:19.076,mercedes,+0.108,+1.065,1:18.933,george-russell,26,6,pirelli,63
1:19.665,mclaren,1:19.130,mercedes,+0.099,+1.164,1:19.032,daniel-ricciardo,22,7,pirelli,3
1:19.605,alpine,1:19.136,renault,+0.029,+1.193,1:19.061,esteban-ocon,23,8,pirelli,31
1:18.983,ferrari,1:18.469,ferrari,+0.347,+1.540,1:19.408,carlos-sainz-jr,22,9,pirelli,55
1:19.192,alpine,1:18.815,renault,,,,fernando-alonso,15,10,pirelli,14
1:19.580,alphatauri,1:19.226,rbpt,,,,pierre-gasly,19,11,pirelli,10
1:19.251,alfa-romeo,1:19.410,ferrari,,,,valtteri-bottas,13,12,pirelli,77
1:19.742,alphatauri,1:19.424,rbpt,,,,yuki-tsunoda,17,13,pirelli,22
1:19.910,alfa-romeo,1:20.155,ferrari,,,,guanyu-zhou,16,14,pirelli,24
1:20.104,haas,1:20.465,ferrari,,,,mick-schumacher,19,15,pirelli,47
1:20.254,haas,,ferrari,,,,kevin-magnussen,11,16,pirelli,20
1:21.149,aston-martin,,mercedes,,,,sebastian-vettel,3,17,pirelli,5
1:21.372,williams,,mercedes,,,,nicholas-latifi,8,18,pirelli,6
,aston-martin,,mercedes,,,,lance-stroll,2,NC,pirelli,18
1:20.135,williams,,mercedes,,,,alexander-albon,11,DSQ,pirelli,23
