time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:19.457,mercedes,mercedes,,,32,george-russell,1,pirelli,63
1:19.538,red-bull,rbpt,+0.081,+0.081,33,sergio-perez,2,pirelli,11
1:19.740,ferrari,ferrari,+0.202,+0.283,35,charles-leclerc,3,pirelli,16
1:19.992,mercedes,mercedes,+0.252,+0.535,34,lewis-hamilton,4,pirelli,44
1:20.174,alpine,renault,+0.182,+0.717,29,fernando-alonso,5,pirelli,14
1:20.258,ferrari,ferrari,+0.084,+0.801,31,carlos-sainz-jr,6,pirelli,55
1:20.371,red-bull,rbpt,+0.113,+0.914,36,max-verstappen,7,pirelli,1
1:20.381,alphatauri,rbpt,+0.010,+0.924,35,yuki-tsunoda,8,pirelli,22
1:20.439,alphatauri,rbpt,+0.058,+0.982,37,pierre-gasly,9,pirelli,10
1:20.498,alfa-romeo,ferrari,+0.059,+1.041,32,guanyu-zhou,10,pirelli,24
1:20.591,williams,mercedes,+0.093,+1.134,34,alexander-albon,11,pirelli,23
1:20.740,haas,ferrari,+0.149,+1.283,30,kevin-magnussen,12,pirelli,20
1:20.977,haas,ferrari,+0.237,+1.520,29,mick-schumacher,13,pirelli,47
1:21.149,aston-martin,mercedes,+0.172,+1.692,38,lance-stroll,14,pirelli,18
1:21.155,aston-martin,mercedes,+0.006,+1.698,38,sebastian-vettel,15,pirelli,5
1:21.179,alpine,renault,+0.024,+1.722,30,esteban-ocon,16,pirelli,31
1:21.263,williams,mercedes,+0.084,+1.806,31,nicholas-latifi,17,pirelli,6
1:23.821,mclaren,mercedes,+2.558,+4.364,6,lando-norris,18,pirelli,4
