time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
30:39.567,red-bull,1,rbpt,,,21,,max-verstappen,,1,8,pirelli,1
30:42.542,ferrari,2,ferrari,,+2.975,21,+2.975,charles-leclerc,,2,7,pirelli,16
30:44.288,red-bull,7,rbpt,,+1.746,21,+4.721,sergio-perez,,3,6,pirelli,11
30:57.145,ferrari,10,ferrari,,+12.857,21,+17.578,carlos-sainz-jr,,4,5,pirelli,55
31:04.128,mclaren,3,mercedes,,+6.983,21,+24.561,lando-norris,,5,4,pirelli,4
31:07.307,mclaren,6,mercedes,,+3.179,21,+27.740,daniel-ricciardo,,6,3,pirelli,3
31:07.700,alfa-romeo,8,ferrari,,+0.393,21,+28.133,valtteri-bottas,,7,2,pirelli,77
31:10.279,haas,4,ferrari,,+2.579,21,+30.712,kevin-magnussen,,8,1,pirelli,20
31:11.845,alpine,5,renault,,+1.566,21,+32.278,fernando-alonso,,9,,pirelli,14
31:13.340,haas,12,ferrari,,+1.495,21,+33.773,mick-schumacher,,10,,pirelli,47
31:15.851,mercedes,11,mercedes,,+2.511,21,+36.284,george-russell,,11,,pirelli,63
31:17.865,alphatauri,16,rbpt,,+2.014,21,+38.298,yuki-tsunoda,,12,,pirelli,22
31:19.744,aston-martin,9,mercedes,,+1.879,21,+40.177,sebastian-vettel,,13,,pirelli,5
31:21.026,mercedes,13,mercedes,,+1.282,21,+41.459,lewis-hamilton,,14,,pirelli,44
31:22.477,aston-martin,15,mercedes,,+1.451,21,+42.910,lance-stroll,,15,,pirelli,18
31:23.084,alpine,19,renault,,+0.607,21,+43.517,esteban-ocon,,16,,pirelli,31
31:23.361,alphatauri,17,rbpt,,+0.277,21,+43.794,pierre-gasly,,17,,pirelli,10
31:28.438,williams,PL,mercedes,,+5.077,21,+48.871,alexander-albon,,18,,pirelli,23
31:31.584,williams,18,mercedes,,+3.146,21,+52.017,nicholas-latifi,,19,,pirelli,6
,alfa-romeo,14,ferrari,,,0,,guanyu-zhou,,DNF,,pirelli,24
