time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:27.999,red-bull,rbpt,,max-verstappen,1,pirelli,1
1:28.778,ferrari,ferrari,,charles-leclerc,2,pirelli,16
1:29.131,mclaren,mercedes,,lando-norris,3,pirelli,4
1:29.164,haas,ferrari,,kevin-magnussen,4,pirelli,20
1:29.202,alpine,renault,,fernando-alonso,5,pirelli,14
1:29.742,mclaren,mercedes,,daniel-ricciardo,6,pirelli,3
1:29.808,red-bull,rbpt,,sergio-perez,7,pirelli,11
1:30.439,alfa-romeo,ferrari,,valtteri-bottas,8,pirelli,77
1:31.062,aston-martin,mercedes,,sebastian-vettel,9,pirelli,5
,ferrari,ferrari,,carlos-sainz-jr,10,pirelli,55
1:20.757,mercedes,mercedes,,george-russell,11,pirelli,63
1:20.916,haas,ferrari,,mick-schumacher,12,pirelli,47
1:21.138,mercedes,mercedes,,lewis-hamilton,13,pirelli,44
1:21.434,alfa-romeo,ferrari,,guanyu-zhou,14,pirelli,24
1:28.119,aston-martin,mercedes,,lance-stroll,15,pirelli,18
1:20.474,alphatauri,rbpt,,yuki-tsunoda,16,pirelli,22
1:20.732,alphatauri,rbpt,,pierre-gasly,17,pirelli,10
1:21.971,williams,mercedes,,nicholas-latifi,18,pirelli,6
1:22.338,alpine,renault,,esteban-ocon,19,pirelli,31
,williams,mercedes,,alexander-albon,PL,pirelli,23
