time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
,red-bull,rbpt,,max-verstappen,1,pirelli,1
,ferrari,ferrari,,charles-leclerc,2,pirelli,16
,red-bull,rbpt,,sergio-perez,3,pirelli,11
,ferrari,ferrari,,carlos-sainz-jr,4,pirelli,55
,mclaren,mercedes,,lando-norris,5,pirelli,4
,mclaren,mercedes,,daniel-ricciardo,6,pirelli,3
,alfa-romeo,ferrari,,valtteri-bottas,7,pirelli,77
,haas,ferrari,,kevin-magnussen,8,pirelli,20
,alpine,renault,,fernando-alonso,9,pirelli,14
,haas,ferrari,,mick-schumacher,10,pirelli,47
,mercedes,mercedes,,george-russell,11,pirelli,63
,alphatauri,rbpt,,yuki-tsunoda,12,pirelli,22
,aston-martin,mercedes,,sebastian-vettel,13,pirelli,5
,mercedes,mercedes,,lewis-hamilton,14,pirelli,44
,aston-martin,mercedes,,lance-stroll,15,pirelli,18
,alpine,renault,,esteban-ocon,16,pirelli,31
,alphatauri,rbpt,,pierre-gasly,17,pirelli,10
,williams,mercedes,,alexander-albon,18,pirelli,23
,williams,mercedes,,nicholas-latifi,19,pirelli,6
,alfa-romeo,ferrari,,guanyu-zhou,PL,pirelli,24
