time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:31.361,red-bull,rbpt,,,max-verstappen,1,pirelli,54,1
1:31.488,ferrari,ferrari,+0.127,+0.127,charles-leclerc,2,pirelli,53,16
1:31.790,ferrari,ferrari,+0.302,+0.429,carlos-sainz-jr,3,pirelli,56,55
1:31.819,red-bull,rbpt,+0.029,+0.458,sergio-perez,4,pirelli,54,11
1:32.195,mercedes,mercedes,+0.376,+0.834,george-russell,5,pirelli,56,63
1:32.528,haas,ferrari,+0.333,+1.167,mick-schumacher,6,pirelli,57,47
1:32.941,mercedes,mercedes,+0.413,+1.580,lewis-hamilton,7,pirelli,55,44
1:33.035,alphatauri,rbpt,+0.094,+1.674,yuki-tsunoda,8,pirelli,55,22
1:33.163,alpine,renault,+0.128,+1.802,esteban-ocon,9,pirelli,56,31
1:33.184,alfa-romeo,ferrari,+0.021,+1.823,valtteri-bottas,10,pirelli,56,77
1:33.265,mclaren,mercedes,+0.081,+1.904,daniel-ricciardo,11,pirelli,56,3
1:33.312,aston-martin,mercedes,+0.047,+1.951,lance-stroll,12,pirelli,52,18
1:33.331,alpine,renault,+0.019,+1.970,fernando-alonso,13,pirelli,53,14
1:33.411,mclaren,mercedes,+0.080,+2.050,lando-norris,14,pirelli,37,4
1:33.447,williams,mercedes,+0.036,+2.086,alexander-albon,15,pirelli,57,23
1:33.479,aston-martin,mercedes,+0.032,+2.118,sebastian-vettel,16,pirelli,50,5
1:33.511,haas,ferrari,+0.032,+2.150,kevin-magnussen,17,pirelli,52,20
1:34.169,williams,mercedes,+0.658,+2.808,nicholas-latifi,18,pirelli,53,6
1:34.487,alphatauri,rbpt,+0.318,+3.126,pierre-gasly,19,pirelli,38,10
1:35.731,alfa-romeo,ferrari,+1.244,+4.370,guanyu-zhou,20,pirelli,4,24
