time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:28.796,ferrari,ferrari,,charles-leclerc,1,pirelli,16
1:28.986,ferrari,ferrari,,carlos-sainz-jr,2,pirelli,55
1:28.991,red-bull,rbpt,,max-verstappen,3,pirelli,1
1:29.036,red-bull,rbpt,,sergio-perez,4,pirelli,11
1:29.475,alfa-romeo,ferrari,,valtteri-bottas,5,pirelli,77
1:29.625,mercedes,mercedes,,lewis-hamilton,6,pirelli,44
1:29.690,alphatauri,rbpt,,pierre-gasly,7,pirelli,10
1:29.750,mclaren,mercedes,,lando-norris,8,pirelli,4
1:29.932,alphatauri,rbpt,,yuki-tsunoda,9,pirelli,22
1:30.676,aston-martin,mercedes,,lance-stroll,10,pirelli,18
1:30.160,alpine,renault,,fernando-alonso,11,pirelli,14
1:30.173,mercedes,mercedes,,george-russell,12,pirelli,63
1:30.214,aston-martin,mercedes,,sebastian-vettel,13,pirelli,5
1:30.310,mclaren,mercedes,,daniel-ricciardo,14,pirelli,3
1:30.423,haas,ferrari,,mick-schumacher,15,pirelli,47
1:30.975,haas,ferrari,,kevin-magnussen,16,pirelli,20
1:31.020,alfa-romeo,ferrari,,guanyu-zhou,17,pirelli,24
1:31.266,williams,mercedes,,alexander-albon,18,pirelli,23
1:31.325,williams,mercedes,,nicholas-latifi,19,pirelli,6
,alpine,renault,,esteban-ocon,20,pirelli,31
