time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:19.670,ferrari,ferrari,,,29,charles-leclerc,1,pirelli,16
1:19.787,mercedes,mercedes,+0.117,+0.117,27,george-russell,2,pirelli,63
1:19.874,mercedes,mercedes,+0.087,+0.204,26,lewis-hamilton,3,pirelli,44
1:19.990,ferrari,ferrari,+0.116,+0.320,31,carlos-sainz-jr,4,pirelli,55
1:20.006,red-bull,rbpt,+0.016,+0.336,27,max-verstappen,5,pirelli,1
1:20.203,alpine,renault,+0.197,+0.533,26,fernando-alonso,6,pirelli,14
1:20.632,red-bull,rbpt,+0.429,+0.962,30,sergio-perez,7,pirelli,11
1:20.703,aston-martin,mercedes,+0.071,+1.033,31,sebastian-vettel,8,pirelli,5
1:20.745,alpine,renault,+0.042,+1.075,27,esteban-ocon,9,pirelli,31
1:20.757,haas,ferrari,+0.012,+1.087,25,mick-schumacher,10,pirelli,47
1:20.917,alphatauri,rbpt,+0.160,+1.247,28,pierre-gasly,11,pirelli,10
1:21.013,haas,ferrari,+0.096,+1.343,24,kevin-magnussen,12,pirelli,20
1:21.249,aston-martin,mercedes,+0.236,+1.579,32,lance-stroll,13,pirelli,18
1:21.285,alphatauri,rbpt,+0.036,+1.615,29,yuki-tsunoda,14,pirelli,22
1:21.385,mclaren,mercedes,+0.100,+1.715,22,daniel-ricciardo,15,pirelli,3
1:21.828,alfa-romeo,ferrari,+0.443,+2.158,3,valtteri-bottas,16,pirelli,77
1:21.866,alfa-romeo,ferrari,+0.038,+2.196,30,guanyu-zhou,17,pirelli,24
1:22.319,williams,mercedes,+0.453,+2.649,31,alexander-albon,18,pirelli,23
1:23.197,williams,mercedes,+0.878,+3.527,25,nicholas-latifi,19,pirelli,6
1:23.388,mclaren,mercedes,+0.191,+3.718,6,lando-norris,20,pirelli,4
