time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:15.749,ferrari,ferrari,,,carlos-sainz-jr,1,pirelli,63,55
1:15.839,red-bull,rbpt,+0.090,+0.090,max-verstappen,2,pirelli,64,1
1:15.901,ferrari,ferrari,+0.062,+0.152,charles-leclerc,3,pirelli,62,16
1:16.167,mercedes,mercedes,+0.266,+0.418,lewis-hamilton,4,pirelli,69,44
1:16.418,mercedes,mercedes,+0.251,+0.669,george-russell,5,pirelli,63,63
1:16.578,alfa-romeo,ferrari,+0.160,+0.829,guanyu-zhou,6,pirelli,63,24
1:16.927,alfa-romeo,ferrari,+0.349,+1.178,valtteri-bottas,7,pirelli,60,77
1:17.010,alpine,renault,+0.083,+1.261,fernando-alonso,8,pirelli,64,14
1:17.110,alpine,renault,+0.100,+1.361,esteban-ocon,9,pirelli,62,31
1:17.421,aston-martin,mercedes,+0.311,+1.672,lance-stroll,10,pirelli,64,18
1:17.495,mclaren,mercedes,+0.074,+1.746,lando-norris,11,pirelli,63,4
1:17.810,alphatauri,rbpt,+0.315,+2.061,pierre-gasly,12,pirelli,60,10
1:17.932,mclaren,mercedes,+0.122,+2.183,daniel-ricciardo,13,pirelli,59,3
1:17.951,williams,mercedes,+0.019,+2.202,alexander-albon,14,pirelli,59,23
1:17.956,aston-martin,mercedes,+0.005,+2.207,sebastian-vettel,15,pirelli,63,5
1:18.046,haas,ferrari,+0.090,+2.297,kevin-magnussen,16,pirelli,11,20
1:18.309,alphatauri,rbpt,+0.263,+2.560,yuki-tsunoda,17,pirelli,15,22
1:18.540,williams,mercedes,+0.231,+2.791,nicholas-latifi,18,pirelli,61,6
1:18.844,red-bull,rbpt,+0.304,+3.095,sergio-perez,19,pirelli,7,11
1:18.967,haas,ferrari,+0.123,+3.218,mick-schumacher,20,pirelli,13,47
