time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:21.299,red-bull,rbpt,,max-verstappen,1,pirelli,1
1:21.944,alpine,renault,,fernando-alonso,2,pirelli,14
1:22.096,ferrari,ferrari,,carlos-sainz-jr,3,pirelli,55
1:22.891,mercedes,mercedes,,lewis-hamilton,4,pirelli,44
1:22.960,haas,ferrari,,kevin-magnussen,5,pirelli,20
1:23.356,haas,ferrari,,mick-schumacher,6,pirelli,47
1:23.529,alpine,renault,,esteban-ocon,7,pirelli,31
1:23.557,mercedes,mercedes,,george-russell,8,pirelli,63
1:23.749,mclaren,mercedes,,daniel-ricciardo,9,pirelli,3
1:24.030,alfa-romeo,ferrari,,guanyu-zhou,10,pirelli,24
1:26.788,alfa-romeo,ferrari,,valtteri-bottas,11,pirelli,77
1:26.858,williams,mercedes,,alexander-albon,12,pirelli,23
1:33.127,red-bull,rbpt,,sergio-perez,13,pirelli,11
,mclaren,mercedes,,lando-norris,14,pirelli,4
1:34.492,alphatauri,rbpt,,pierre-gasly,15,pirelli,10
1:34.512,aston-martin,mercedes,,sebastian-vettel,16,pirelli,5
1:35.532,aston-martin,mercedes,,lance-stroll,17,pirelli,18
1:35.660,williams,mercedes,,nicholas-latifi,18,pirelli,6
,ferrari,ferrari,SFB,charles-leclerc,19,pirelli,16
1:36.575,alphatauri,rbpt,SFB,yuki-tsunoda,20,pirelli,22
