time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
36.779,haas,ferrari,1,kevin-magnussen,1,pirelli,8,20
36.704,haas,ferrari,1,mick-schumacher,2,pirelli,9,47
36.444,alfa-romeo,ferrari,1,guanyu-zhou,3,pirelli,9,24
37.648,alphatauri,rbpt,1,yuki-tsunoda,4,pirelli,11,22
35.266,red-bull,rbpt,1,max-verstappen,5,pirelli,16,1
37.189,mercedes,mercedes,1,lewis-hamilton,6,pirelli,18,44
38.061,red-bull,rbpt,1,sergio-perez,7,pirelli,18,11
38.277,mercedes,mercedes,1,george-russell,8,pirelli,18,63
36.524,alpine,renault,1,fernando-alonso,9,pirelli,18,14
37.539,mclaren,mercedes,1,lando-norris,10,pirelli,18,4
44.747,alpine,renault,1,esteban-ocon,11,pirelli,18,31
41.458,ferrari,ferrari,1,carlos-sainz-jr,12,pirelli,18,55
36.264,mclaren,mercedes,1,daniel-ricciardo,13,pirelli,18,3
39.844,aston-martin,mercedes,1,lance-stroll,14,pirelli,18,18
37.380,williams,mercedes,1,alexander-albon,15,pirelli,18,23
35.969,alphatauri,rbpt,1,pierre-gasly,16,pirelli,18,10
37.855,alfa-romeo,ferrari,1,valtteri-bottas,17,pirelli,18,77
36.403,haas,ferrari,2,kevin-magnussen,18,pirelli,18,20
37.003,haas,ferrari,2,mick-schumacher,19,pirelli,18,47
36.671,aston-martin,mercedes,1,sebastian-vettel,20,pirelli,19,5
37.497,williams,mercedes,1,nicholas-latifi,21,pirelli,19,6
50.790,alfa-romeo,ferrari,2,guanyu-zhou,22,pirelli,22,24
36.520,alfa-romeo,ferrari,2,valtteri-bottas,23,pirelli,36,77
36.942,williams,mercedes,2,nicholas-latifi,24,pirelli,38,6
42.292,ferrari,ferrari,2,carlos-sainz-jr,25,pirelli,42,55
