q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:31.727,ferrari,1:31.216,ferrari,,,1:30.872,charles-leclerc,17,1,pirelli,16
1:31.891,red-bull,1:31.990,rbpt,+0.304,+0.304,1:31.176,max-verstappen,14,2,pirelli,1
1:32.354,red-bull,1:32.120,rbpt,+0.159,+0.463,1:31.335,sergio-perez,20,3,pirelli,11
1:33.041,mercedes,1:32.274,mercedes,+0.430,+0.893,1:31.765,lewis-hamilton,19,4,pirelli,44
1:32.672,mclaren,1:32.777,mercedes,+0.267,+1.160,1:32.032,lando-norris,14,5,pirelli,4
1:33.109,mercedes,1:32.633,mercedes,+0.099,+1.259,1:32.131,george-russell,20,6,pirelli,63
1:32.819,alpine,1:32.631,renault,+0.421,+1.680,1:32.552,fernando-alonso,17,7,pirelli,14
1:33.394,alphatauri,1:32.836,rbpt,+0.228,+1.908,1:32.780,yuki-tsunoda,20,8,pirelli,22
1:32.297,ferrari,1:31.081,ferrari,,,,carlos-sainz-jr,10,9,pirelli,55
1:32.756,haas,1:32.649,ferrari,,,,kevin-magnussen,9,10,pirelli,20
1:33.404,mclaren,1:32.922,mercedes,,,,daniel-ricciardo,12,11,pirelli,3
1:33.346,alpine,1:33.048,renault,,,,esteban-ocon,12,12,pirelli,31
1:33.034,alfa-romeo,1:33.052,ferrari,,,,valtteri-bottas,13,13,pirelli,77
1:33.285,aston-martin,1:33.276,mercedes,,,,sebastian-vettel,15,14,pirelli,5
1:33.423,williams,1:33.307,mercedes,,,,alexander-albon,11,15,pirelli,23
1:33.439,alphatauri,,rbpt,,,,pierre-gasly,7,16,pirelli,10
1:33.439,aston-martin,,mercedes,,,,lance-stroll,9,17,pirelli,18
1:33.674,alfa-romeo,,ferrari,,,,guanyu-zhou,8,18,pirelli,24
1:33.701,haas,,ferrari,,,,mick-schumacher,9,19,pirelli,47
1:33.794,williams,,mercedes,,,,nicholas-latifi,6,20,pirelli,6
