time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:30.872,ferrari,ferrari,,charles-leclerc,1,pirelli,16
1:31.176,red-bull,rbpt,,max-verstappen,2,pirelli,1
1:31.335,red-bull,rbpt,,sergio-perez,3,pirelli,11
1:31.765,mercedes,mercedes,,lewis-hamilton,4,pirelli,44
1:32.032,mclaren,mercedes,,lando-norris,5,pirelli,4
1:32.131,mercedes,mercedes,,george-russell,6,pirelli,63
1:32.552,alpine,renault,,fernando-alonso,7,pirelli,14
1:32.780,alphatauri,rbpt,,yuki-tsunoda,8,pirelli,22
1:32.922,mclaren,mercedes,,daniel-ricciardo,9,pirelli,3
1:33.048,alpine,renault,,esteban-ocon,10,pirelli,31
1:33.052,alfa-romeo,ferrari,,valtteri-bottas,11,pirelli,77
1:33.276,aston-martin,mercedes,,sebastian-vettel,12,pirelli,5
1:33.307,williams,mercedes,,alexander-albon,13,pirelli,23
1:33.439,alphatauri,rbpt,,pierre-gasly,14,pirelli,10
1:33.439,aston-martin,mercedes,,lance-stroll,15,pirelli,18
1:33.674,alfa-romeo,ferrari,,guanyu-zhou,16,pirelli,24
1:33.701,haas,ferrari,,mick-schumacher,17,pirelli,47
1:33.794,williams,mercedes,,nicholas-latifi,18,pirelli,6
,ferrari,ferrari,SFB,carlos-sainz-jr,19,pirelli,55
,haas,ferrari,SFB,kevin-magnussen,20,pirelli,20
