time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
31.224,williams,mercedes,1,alexander-albon,1,pirelli,2,23
29.641,haas,ferrari,1,kevin-magnussen,2,pirelli,6,20
21.577,alphatauri,rbpt,1,yuki-tsunoda,3,pirelli,13,22
23.567,mclaren,mercedes,1,lando-norris,4,pirelli,14,4
21.779,aston-martin,mercedes,1,lance-stroll,5,pirelli,14,18
21.558,mclaren,mercedes,1,daniel-ricciardo,6,pirelli,15,3
21.402,aston-martin,mercedes,1,sebastian-vettel,7,pirelli,15,5
22.763,mercedes,mercedes,1,george-russell,8,pirelli,16,63
21.351,red-bull,rbpt,1,max-verstappen,9,pirelli,16,1
21.675,alphatauri,rbpt,1,pierre-gasly,10,pirelli,16,10
22.820,ferrari,ferrari,1,carlos-sainz-jr,11,pirelli,17,55
21.118,red-bull,rbpt,1,sergio-perez,12,pirelli,18,11
21.865,williams,mercedes,1,nicholas-latifi,13,pirelli,18,6
21.699,mercedes,mercedes,1,lewis-hamilton,14,pirelli,19,44
21.775,ferrari,ferrari,1,charles-leclerc,15,pirelli,21,16
22.083,alpine,renault,1,fernando-alonso,16,pirelli,21,14
22.953,haas,ferrari,1,mick-schumacher,17,pirelli,21,47
21.816,williams,mercedes,2,alexander-albon,18,pirelli,21,23
23.581,alpine,renault,1,esteban-ocon,19,pirelli,23,31
22.272,alfa-romeo,ferrari,1,valtteri-bottas,20,pirelli,26,77
22.321,alfa-romeo,ferrari,1,guanyu-zhou,21,pirelli,27,24
22.016,alphatauri,rbpt,2,yuki-tsunoda,22,pirelli,33,22
23.210,haas,ferrari,2,kevin-magnussen,23,pirelli,35,20
21.228,red-bull,rbpt,2,max-verstappen,24,pirelli,38,1
21.972,ferrari,ferrari,2,charles-leclerc,25,pirelli,39,16
21.743,mercedes,mercedes,2,george-russell,26,pirelli,39,63
22.452,williams,mercedes,2,nicholas-latifi,27,pirelli,39,6
24.298,williams,mercedes,3,alexander-albon,28,pirelli,40,23
22.566,haas,ferrari,2,mick-schumacher,29,pirelli,41,47
21.167,red-bull,rbpt,2,sergio-perez,30,pirelli,42,11
21.855,mclaren,mercedes,2,lando-norris,31,pirelli,42,4
21.521,mclaren,mercedes,2,daniel-ricciardo,32,pirelli,46,3
21.615,aston-martin,mercedes,2,lance-stroll,33,pirelli,46,18
25.030,aston-martin,mercedes,2,sebastian-vettel,34,pirelli,46,5
21.489,alphatauri,rbpt,2,pierre-gasly,35,pirelli,46,10
23.456,ferrari,ferrari,2,carlos-sainz-jr,36,pirelli,47,55
22.095,mercedes,mercedes,2,lewis-hamilton,37,pirelli,51,44
28.218,alfa-romeo,ferrari,2,guanyu-zhou,38,pirelli,51,24
22.128,alphatauri,rbpt,3,yuki-tsunoda,39,pirelli,51,22
21.544,ferrari,ferrari,3,charles-leclerc,40,pirelli,54,16
28.777,williams,mercedes,3,nicholas-latifi,41,pirelli,56,6
23.147,haas,ferrari,3,kevin-magnussen,42,pirelli,67,20
