time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
24.198,ferrari,ferrari,1,charles-leclerc,1,pirelli,3,16
35.825,williams,mercedes,1,nicholas-latifi,2,pirelli,3,6
23.334,williams,mercedes,1,alexander-albon,3,pirelli,10,23
22.857,alphatauri,rbpt,1,pierre-gasly,4,pirelli,10,10
22.543,ferrari,ferrari,1,carlos-sainz-jr,5,pirelli,11,55
22.641,alpine,renault,1,fernando-alonso,6,pirelli,11,14
26.815,haas,ferrari,1,kevin-magnussen,7,pirelli,11,20
23.085,mclaren,mercedes,1,daniel-ricciardo,8,pirelli,12,3
23.511,alpine,renault,1,esteban-ocon,9,pirelli,12,31
22.825,mercedes,mercedes,1,george-russell,10,pirelli,13,63
23.036,mclaren,mercedes,1,lando-norris,11,pirelli,13,4
22.349,red-bull,rbpt,1,sergio-perez,12,pirelli,14,11
23.222,aston-martin,mercedes,1,sebastian-vettel,13,pirelli,14,5
23.744,alfa-romeo,ferrari,1,guanyu-zhou,14,pirelli,14,24
24.158,haas,ferrari,1,mick-schumacher,15,pirelli,14,47
22.882,red-bull,rbpt,1,max-verstappen,16,pirelli,15,1
23.555,aston-martin,mercedes,1,lance-stroll,17,pirelli,15,18
24.168,williams,mercedes,2,nicholas-latifi,18,pirelli,15,6
30.055,alphatauri,rbpt,1,yuki-tsunoda,19,pirelli,18,22
22.542,alphatauri,rbpt,2,pierre-gasly,20,pirelli,22,10
22.750,ferrari,ferrari,2,carlos-sainz-jr,21,pirelli,25,55
23.189,ferrari,ferrari,2,charles-leclerc,22,pirelli,25,16
23.954,alpine,renault,2,fernando-alonso,23,pirelli,25,14
24.415,williams,mercedes,2,alexander-albon,24,pirelli,26,23
23.349,aston-martin,mercedes,2,lance-stroll,25,pirelli,26,18
22.650,red-bull,rbpt,2,sergio-perez,26,pirelli,27,11
23.396,haas,ferrari,2,kevin-magnussen,27,pirelli,27,20
23.364,alfa-romeo,ferrari,2,guanyu-zhou,28,pirelli,28,24
22.977,mercedes,mercedes,2,george-russell,29,pirelli,29,63
23.560,mclaren,mercedes,2,lando-norris,30,pirelli,29,4
22.322,red-bull,rbpt,2,max-verstappen,31,pirelli,30,1
24.253,alphatauri,rbpt,2,yuki-tsunoda,32,pirelli,30,22
24.982,haas,ferrari,2,mick-schumacher,33,pirelli,30,47
23.491,alpine,renault,2,esteban-ocon,34,pirelli,32,31
23.146,mclaren,mercedes,2,daniel-ricciardo,35,pirelli,32,3
22.833,aston-martin,mercedes,2,sebastian-vettel,36,pirelli,33,5
23.414,williams,mercedes,3,nicholas-latifi,37,pirelli,34,6
23.334,ferrari,ferrari,3,charles-leclerc,38,pirelli,42,16
