time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
1:36:42.773,red-bull,1,rbpt,,,72,,max-verstappen,,1,26,pirelli,1
1:36:46.844,mercedes,6,mercedes,,+4.071,72,+4.071,george-russell,,2,18,pirelli,63
1:36:53.702,ferrari,2,ferrari,,+6.858,72,+10.929,charles-leclerc,,3,15,pirelli,16
1:36:55.789,mercedes,4,mercedes,,+2.087,72,+13.016,lewis-hamilton,,4,12,pirelli,44
1:37:00.941,red-bull,5,rbpt,,+5.152,72,+18.168,sergio-perez,,5,10,pirelli,11
1:37:01.527,alpine,13,renault,,+0.586,72,+18.754,fernando-alonso,,6,8,pirelli,14
1:37:02.079,mclaren,7,mercedes,,+0.552,72,+19.306,lando-norris,,7,6,pirelli,4
1:37:03.689,ferrari,3,ferrari,5.000,+1.610,72,+20.916,carlos-sainz-jr,,8,4,pirelli,55
1:37:03.890,alpine,12,renault,,+0.201,72,+21.117,esteban-ocon,,9,2,pirelli,31
1:37:05.232,aston-martin,10,mercedes,,+1.342,72,+22.459,lance-stroll,,10,1,pirelli,18
1:37:09.782,alphatauri,11,rbpt,,+4.550,72,+27.009,pierre-gasly,,11,,pirelli,10
1:37:13.163,williams,15,mercedes,,+3.381,72,+30.390,alexander-albon,,12,,pirelli,23
1:37:15.768,haas,8,ferrari,,+2.605,72,+32.995,mick-schumacher,,13,,pirelli,47
1:37:18.780,aston-martin,19,mercedes,5.000,+3.012,72,+36.007,sebastian-vettel,,14,,pirelli,5
1:37:19.642,haas,18,ferrari,,+0.862,72,+36.869,kevin-magnussen,,15,,pirelli,20
1:37:20.093,alfa-romeo,14,ferrari,,+0.451,72,+37.320,guanyu-zhou,,16,,pirelli,24
1:37:20.537,mclaren,17,mercedes,,+0.444,72,+37.764,daniel-ricciardo,,17,,pirelli,3
,williams,20,mercedes,,,71,+1 lap,nicholas-latifi,,18,,pirelli,6
,alfa-romeo,16,ferrari,,,53,,valtteri-bottas,Engine,DNF,,pirelli,77
,alphatauri,9,rbpt,,,43,,yuki-tsunoda,Differential,DNF,,pirelli,22
