driverId,position,points
max-verstappen,1,341
charles-leclerc,2,237
sergio-perez,3,235
george-russell,4,203
carlos-sainz-jr,5,202
lewis-hamilton,6,170
lando-norris,7,100
esteban-ocon,8,66
fernando-alonso,9,59
valtteri-bottas,10,46
daniel-ricciardo,11,29
sebastian-vettel,12,24
pierre-gasly,13,23
kevin-magnussen,14,22
lance-stroll,15,13
mick-schumacher,16,12
yuki-tsunoda,17,11
guanyu-zhou,18,6
alexander-albon,19,4
nyck-de-vries,20,2
nicholas-latifi,21,0
nico-hulkenberg,22,0
