time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:57.782,ferrari,ferrari,,,11,charles-leclerc,1,pirelli,16
1:58.308,red-bull,rbpt,+0.526,+0.526,12,max-verstappen,2,pirelli,1
1:58.848,ferrari,ferrari,+0.540,+1.066,12,carlos-sainz-jr,3,pirelli,55
1:59.429,alpine,renault,+0.581,+1.647,9,fernando-alonso,4,pirelli,14
1:59.526,red-bull,rbpt,+0.097,+1.744,11,sergio-perez,5,pirelli,11
2:00.373,aston-martin,mercedes,+0.847,+2.591,11,lance-stroll,6,pirelli,18
2:00.911,alpine,renault,+0.538,+3.129,9,esteban-ocon,7,pirelli,31
2:01.007,aston-martin,mercedes,+0.096,+3.225,11,sebastian-vettel,8,pirelli,5
2:01.010,mercedes,mercedes,+0.003,+3.228,10,george-russell,9,pirelli,63
2:01.036,mclaren,mercedes,+0.026,+3.254,13,daniel-ricciardo,10,pirelli,3
2:01.089,haas,ferrari,+0.053,+3.307,13,kevin-magnussen,11,pirelli,20
2:01.220,mercedes,mercedes,+0.131,+3.438,8,lewis-hamilton,12,pirelli,44
2:01.245,alphatauri,rbpt,+0.025,+3.463,15,pierre-gasly,13,pirelli,10
2:01.502,haas,ferrari,+0.257,+3.720,13,mick-schumacher,14,pirelli,47
2:01.679,alphatauri,rbpt,+0.177,+3.897,14,yuki-tsunoda,15,pirelli,22
2:01.791,mclaren,mercedes,+0.112,+4.009,13,lando-norris,16,pirelli,4
2:01.907,williams,mercedes,+0.116,+4.125,13,alexander-albon,17,pirelli,23
2:02.066,alfa-romeo,ferrari,+0.159,+4.284,11,valtteri-bottas,18,pirelli,77
2:02.599,alfa-romeo,ferrari,+0.533,+4.817,11,guanyu-zhou,19,pirelli,24
2:03.510,williams,mercedes,+0.911,+5.728,10,nicholas-latifi,20,pirelli,6
