time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
39.247,haas,ferrari,1,kevin-magnussen,1,pirelli,7,20
30.378,mercedes,mercedes,1,george-russell,2,pirelli,21,63
29.867,alphatauri,rbpt,1,pierre-gasly,3,pirelli,33,10
31.293,alphatauri,rbpt,1,yuki-tsunoda,4,pirelli,33,22
32.167,alfa-romeo,ferrari,1,valtteri-bottas,5,pirelli,33,77
32.603,haas,ferrari,2,kevin-magnussen,6,pirelli,33,20
32.058,ferrari,ferrari,1,charles-leclerc,7,pirelli,34,16
41.019,mercedes,mercedes,1,lewis-hamilton,8,pirelli,34,44
29.704,aston-martin,mercedes,1,sebastian-vettel,9,pirelli,34,5
31.201,haas,ferrari,1,mick-schumacher,10,pirelli,34,47
29.550,red-bull,rbpt,1,sergio-perez,11,pirelli,35,11
30.603,ferrari,ferrari,1,carlos-sainz-jr,12,pirelli,35,55
29.407,red-bull,rbpt,1,max-verstappen,13,pirelli,35,1
29.863,aston-martin,mercedes,1,lance-stroll,14,pirelli,35,18
29.713,mercedes,mercedes,2,george-russell,15,pirelli,35,63
30.528,mclaren,mercedes,1,lando-norris,16,pirelli,36,4
30.946,mclaren,mercedes,1,daniel-ricciardo,17,pirelli,36,3
29.775,red-bull,rbpt,2,max-verstappen,18,pirelli,40,1
34.722,haas,ferrari,2,mick-schumacher,19,pirelli,41,47
33.211,mercedes,mercedes,3,george-russell,20,pirelli,41,63
29.893,mercedes,mercedes,4,george-russell,21,pirelli,51,63
