driverId,position,points
max-verstappen,1,366
sergio-perez,2,253
charles-leclerc,3,252
george-russell,4,207
carlos-sainz-jr,5,202
lewis-hamilton,6,180
lando-norris,7,101
esteban-ocon,8,78
fernando-alonso,9,65
valtteri-bottas,10,46
sebastian-vettel,11,32
daniel-ricciardo,12,29
pierre-gasly,13,23
kevin-magnussen,14,22
lance-stroll,15,13
mick-schumacher,16,12
yuki-tsunoda,17,11
guanyu-zhou,18,6
alexander-albon,19,4
nicholas-latifi,20,2
nyck-de-vries,21,2
nico-hulkenberg,22,0
