time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:30.671,red-bull,rbpt,,,22,max-verstappen,1,pirelli,1
1:30.965,ferrari,ferrari,+0.294,+0.294,27,carlos-sainz-jr,2,pirelli,55
1:30.980,ferrari,ferrari,+0.015,+0.309,27,charles-leclerc,3,pirelli,16
1:31.320,alpine,renault,+0.340,+0.649,20,fernando-alonso,4,pirelli,14
1:31.514,red-bull,rbpt,+0.194,+0.843,25,sergio-perez,5,pirelli,11
1:31.530,mercedes,mercedes,+0.016,+0.859,28,george-russell,6,pirelli,63
1:31.589,mercedes,mercedes,+0.059,+0.918,25,lewis-hamilton,7,pirelli,44
1:31.747,mclaren,mercedes,+0.158,+1.076,27,lando-norris,8,pirelli,4
1:31.750,alpine,renault,+0.003,+1.079,22,esteban-ocon,9,pirelli,31
1:31.838,aston-martin,mercedes,+0.088,+1.167,25,lance-stroll,10,pirelli,18
1:31.860,mclaren,mercedes,+0.022,+1.189,28,daniel-ricciardo,11,pirelli,3
1:31.946,williams,mercedes,+0.086,+1.275,26,alexander-albon,12,pirelli,23
1:31.971,alfa-romeo,ferrari,+0.025,+1.300,24,valtteri-bottas,13,pirelli,77
1:32.222,aston-martin,mercedes,+0.251,+1.551,25,sebastian-vettel,14,pirelli,5
1:32.290,haas,ferrari,+0.068,+1.619,23,kevin-magnussen,15,pirelli,20
1:32.366,haas,ferrari,+0.076,+1.695,24,mick-schumacher,16,pirelli,47
1:32.377,alphatauri,rbpt,+0.011,+1.706,26,yuki-tsunoda,17,pirelli,22
1:32.385,alfa-romeo,ferrari,+0.008,+1.714,24,guanyu-zhou,18,pirelli,24
1:32.868,williams,mercedes,+0.483,+2.197,26,nicholas-latifi,19,pirelli,6
1:32.881,alphatauri,rbpt,+0.013,+2.210,24,pierre-gasly,20,pirelli,10
