time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
41.319,alphatauri,rbpt,1,pierre-gasly,1,pirelli,1,10
6:27.399,red-bull,rbpt,1,max-verstappen,2,pirelli,2,1
6:29.973,ferrari,ferrari,1,charles-leclerc,3,pirelli,2,16
6:32.517,red-bull,rbpt,1,sergio-perez,4,pirelli,2,11
6:33.601,alpine,renault,1,esteban-ocon,5,pirelli,2,31
6:36.504,mercedes,mercedes,1,lewis-hamilton,6,pirelli,2,44
6:36.837,alpine,renault,1,fernando-alonso,7,pirelli,2,14
6:41.057,mercedes,mercedes,1,george-russell,8,pirelli,2,63
6:41.749,mclaren,mercedes,1,daniel-ricciardo,9,pirelli,2,3
6:42.478,alphatauri,rbpt,1,yuki-tsunoda,10,pirelli,2,22
6:40.857,haas,ferrari,1,mick-schumacher,11,pirelli,2,47
6:40.463,aston-martin,mercedes,1,lance-stroll,12,pirelli,2,18
6:42.029,haas,ferrari,1,kevin-magnussen,13,pirelli,2,20
6:46.256,mclaren,mercedes,1,lando-norris,14,pirelli,2,4
6:47.553,alfa-romeo,ferrari,1,valtteri-bottas,15,pirelli,2,77
6:47.673,williams,mercedes,1,nicholas-latifi,16,pirelli,2,6
6:49.647,aston-martin,mercedes,1,sebastian-vettel,17,pirelli,2,5
6:50.005,alfa-romeo,ferrari,1,guanyu-zhou,18,pirelli,2,24
6:49.011,alphatauri,rbpt,2,pierre-gasly,19,pirelli,2,10
24.785,williams,mercedes,2,nicholas-latifi,20,pirelli,5,6
24.218,aston-martin,mercedes,2,sebastian-vettel,21,pirelli,5,5
24.595,mclaren,mercedes,2,lando-norris,22,pirelli,6,4
24.869,alfa-romeo,ferrari,2,valtteri-bottas,23,pirelli,6,77
24.308,red-bull,rbpt,2,max-verstappen,24,pirelli,7,1
25.899,ferrari,ferrari,2,charles-leclerc,25,pirelli,7,16
25.322,red-bull,rbpt,2,sergio-perez,26,pirelli,7,11
25.172,alpine,renault,2,esteban-ocon,27,pirelli,7,31
25.059,mercedes,mercedes,2,lewis-hamilton,28,pirelli,7,44
28.728,mercedes,mercedes,2,george-russell,29,pirelli,7,63
24.439,alphatauri,rbpt,2,yuki-tsunoda,30,pirelli,7,22
25.594,haas,ferrari,2,kevin-magnussen,31,pirelli,7,20
24.005,aston-martin,mercedes,2,lance-stroll,32,pirelli,7,18
24.966,alphatauri,rbpt,3,pierre-gasly,33,pirelli,7,10
24.106,alpine,renault,2,fernando-alonso,34,pirelli,8,14
25.377,mclaren,mercedes,2,daniel-ricciardo,35,pirelli,8,3
24.563,alfa-romeo,ferrari,2,guanyu-zhou,36,pirelli,9,24
24.608,haas,ferrari,2,mick-schumacher,37,pirelli,11,47
24.266,alfa-romeo,ferrari,3,guanyu-zhou,38,pirelli,18,24
23.870,aston-martin,mercedes,3,lance-stroll,39,pirelli,19,18
23.966,alphatauri,rbpt,4,pierre-gasly,40,pirelli,19,10
23.756,alphatauri,rbpt,3,yuki-tsunoda,41,pirelli,20,22
24.123,alpine,renault,3,fernando-alonso,42,pirelli,22,14
