q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:30.224,red-bull,1:30.346,rbpt,,,1:29.304,max-verstappen,13,1,pirelli,1
1:30.402,ferrari,1:30.486,ferrari,+0.010,+0.010,1:29.314,charles-leclerc,13,2,pirelli,16
1:30.336,ferrari,1:30.444,ferrari,+0.047,+0.057,1:29.361,carlos-sainz-jr,13,3,pirelli,55
1:30.622,red-bull,1:29.925,rbpt,+0.348,+0.405,1:29.709,sergio-perez,15,4,pirelli,11
1:30.696,alpine,1:30.357,renault,+0.456,+0.861,1:30.165,esteban-ocon,18,5,pirelli,31
1:30.906,mercedes,1:30.443,mercedes,+0.096,+0.957,1:30.261,lewis-hamilton,20,6,pirelli,44
1:30.603,alpine,1:30.343,renault,+0.061,+1.018,1:30.322,fernando-alonso,15,7,pirelli,14
1:30.865,mercedes,1:30.465,mercedes,+0.067,+1.085,1:30.389,george-russell,19,8,pirelli,63
1:31.256,aston-martin,1:30.656,mercedes,+0.165,+1.250,1:30.554,sebastian-vettel,15,9,pirelli,5
1:30.881,mclaren,1:30.473,mercedes,+0.449,+1.699,1:31.003,lando-norris,18,10,pirelli,4
1:30.880,mclaren,1:30.659,mercedes,,,,daniel-ricciardo,11,11,pirelli,3
1:31.226,alfa-romeo,1:30.709,ferrari,,,,valtteri-bottas,12,12,pirelli,77
1:31.130,alphatauri,1:30.808,rbpt,,,,yuki-tsunoda,15,13,pirelli,22
1:30.894,alfa-romeo,1:30.953,ferrari,,,,guanyu-zhou,12,14,pirelli,24
1:31.152,haas,1:31.439,ferrari,,,,mick-schumacher,12,15,pirelli,47
1:31.311,williams,,mercedes,,,,alexander-albon,6,16,pirelli,23
1:31.322,alphatauri,,rbpt,,,,pierre-gasly,9,17,pirelli,10
1:31.352,haas,,ferrari,,,,kevin-magnussen,6,18,pirelli,20
1:31.419,aston-martin,,mercedes,,,,lance-stroll,6,19,pirelli,18
1:31.511,williams,,mercedes,,,,nicholas-latifi,8,20,pirelli,6
