time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:36.810,ferrari,ferrari,,,37,charles-leclerc,1,pirelli,16
1:37.525,alfa-romeo,ferrari,+0.715,+0.715,37,valtteri-bottas,2,pirelli,77
1:37.627,mclaren,mercedes,+0.102,+0.817,40,daniel-ricciardo,3,pirelli,3
1:38.232,ferrari,ferrari,+0.605,+1.422,26,carlos-sainz-jr,4,pirelli,55
1:39.507,haas,ferrari,+1.275,+2.697,26,mick-schumacher,5,pirelli,47
1:39.547,mclaren,mercedes,+0.040,+2.737,26,lando-norris,6,pirelli,4
1:39.575,red-bull,rbpt,+0.028,+2.765,26,max-verstappen,7,pirelli,1
1:39.698,mercedes,mercedes,+0.123,+2.888,26,lewis-hamilton,8,pirelli,44
1:39.840,alphatauri,rbpt,+0.142,+3.030,26,pierre-gasly,9,pirelli,10
1:39.852,red-bull,rbpt,+0.012,+3.042,26,sergio-perez,10,pirelli,11
1:40.084,haas,ferrari,+0.232,+3.274,24,kevin-magnussen,11,pirelli,20
1:40.178,alphatauri,rbpt,+0.094,+3.368,26,yuki-tsunoda,12,pirelli,22
1:40.562,mercedes,mercedes,+0.384,+3.752,26,george-russell,13,pirelli,63
1:40.664,alfa-romeo,ferrari,+0.102,+3.854,26,guanyu-zhou,14,pirelli,24
1:40.806,aston-martin,mercedes,+0.142,+3.996,26,lance-stroll,15,pirelli,18
1:41.310,alpine,renault,+0.504,+4.500,26,esteban-ocon,16,pirelli,31
1:41.334,alpine,renault,+0.024,+4.524,26,fernando-alonso,17,pirelli,14
1:41.853,williams,mercedes,+0.519,+5.043,26,alexander-albon,18,pirelli,23
1:41.857,aston-martin,mercedes,+0.004,+5.047,26,sebastian-vettel,19,pirelli,5
1:42.317,williams,mercedes,+0.460,+5.507,26,nicholas-latifi,20,pirelli,6
