driverId,position,points
max-verstappen,1,429
charles-leclerc,2,290
sergio-perez,3,290
george-russell,4,265
lewis-hamilton,5,240
carlos-sainz-jr,6,234
lando-norris,7,113
esteban-ocon,8,86
fernando-alonso,9,81
valtteri-bottas,10,49
sebastian-vettel,11,36
daniel-ricciardo,12,35
kevin-magnussen,13,25
pierre-gasly,14,23
lance-stroll,15,14
mick-schumacher,16,12
yuki-tsunoda,17,12
guanyu-zhou,18,6
alexander-albon,19,4
nicholas-latifi,20,2
nyck-de-vries,21,2
nico-hulkenberg,22,0
