time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
24.361,williams,mercedes,1,alexander-albon,1,pirelli,4,23
30.942,red-bull,rbpt,1,max-verstappen,2,pirelli,7,1
30.080,ferrari,ferrari,1,charles-leclerc,3,pirelli,7,16
23.478,alpine,renault,1,fernando-alonso,4,pirelli,14,14
24.332,alfa-romeo,ferrari,1,guanyu-zhou,5,pirelli,16,24
25.206,ferrari,ferrari,1,carlos-sainz-jr,6,pirelli,17,55
23.460,alphatauri,rbpt,1,pierre-gasly,7,pirelli,19,10
23.287,alphatauri,rbpt,1,yuki-tsunoda,8,pirelli,20,22
28.807,williams,mercedes,1,nicholas-latifi,9,pirelli,20,6
23.172,ferrari,ferrari,2,charles-leclerc,10,pirelli,21,16
22.869,red-bull,rbpt,1,sergio-perez,11,pirelli,23,11
31.682,red-bull,rbpt,2,max-verstappen,12,pirelli,23,1
23.521,mercedes,mercedes,1,george-russell,13,pirelli,24,63
29.338,mclaren,mercedes,1,lando-norris,14,pirelli,24,4
23.908,alfa-romeo,ferrari,1,valtteri-bottas,15,pirelli,24,77
23.868,alpine,renault,1,esteban-ocon,16,pirelli,24,31
24.487,haas,ferrari,1,mick-schumacher,17,pirelli,24,47
23.352,williams,mercedes,2,alexander-albon,18,pirelli,25,23
24.248,aston-martin,mercedes,1,sebastian-vettel,19,pirelli,26,5
24.081,mercedes,mercedes,1,lewis-hamilton,20,pirelli,29,44
23.469,aston-martin,mercedes,1,lance-stroll,21,pirelli,29,18
24.292,williams,mercedes,2,nicholas-latifi,22,pirelli,32,6
28.855,alpine,renault,2,fernando-alonso,23,pirelli,35,14
23.328,alphatauri,rbpt,2,pierre-gasly,24,pirelli,35,10
23.483,ferrari,ferrari,2,carlos-sainz-jr,25,pirelli,36,55
25.111,alfa-romeo,ferrari,2,guanyu-zhou,26,pirelli,37,24
23.645,alphatauri,rbpt,2,yuki-tsunoda,27,pirelli,40,22
23.124,ferrari,ferrari,3,charles-leclerc,28,pirelli,44,16
24.616,alfa-romeo,ferrari,2,valtteri-bottas,29,pirelli,45,77
24.028,aston-martin,mercedes,2,sebastian-vettel,30,pirelli,45,5
24.669,mclaren,mercedes,2,lando-norris,31,pirelli,45,4
25.156,haas,ferrari,2,mick-schumacher,32,pirelli,46,47
23.152,red-bull,rbpt,2,sergio-perez,33,pirelli,47,11
24.445,alpine,renault,2,esteban-ocon,34,pirelli,47,31
23.322,williams,mercedes,3,alexander-albon,35,pirelli,47,23
23.415,mercedes,mercedes,2,lewis-hamilton,36,pirelli,48,44
24.102,red-bull,rbpt,3,max-verstappen,37,pirelli,48,1
23.764,aston-martin,mercedes,2,lance-stroll,38,pirelli,48,18
23.480,mercedes,mercedes,2,george-russell,39,pirelli,49,63
23.790,alpine,renault,3,fernando-alonso,40,pirelli,52,14
23.009,alphatauri,rbpt,3,pierre-gasly,41,pirelli,52,10
23.816,ferrari,ferrari,3,carlos-sainz-jr,42,pirelli,53,55
23.640,williams,mercedes,3,nicholas-latifi,43,pirelli,52,6
23.635,alphatauri,rbpt,3,yuki-tsunoda,44,pirelli,54,22
