time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
30:11.307,mercedes,3,mercedes,,,24,,george-russell,,1,8,pirelli,63
30:15.302,ferrari,5,ferrari,,+3.995,24,+3.995,carlos-sainz-jr,,2,7,pirelli,55
30:15.799,mercedes,8,mercedes,,+0.497,24,+4.492,lewis-hamilton,,3,6,pirelli,44
30:21.801,red-bull,2,rbpt,,+6.002,24,+10.494,max-verstappen,,4,5,pirelli,1
30:23.162,red-bull,9,rbpt,,+1.361,24,+11.855,sergio-perez,,5,4,pirelli,11
30:24.440,ferrari,10,ferrari,,+1.278,24,+13.133,charles-leclerc,,6,3,pirelli,16
30:36.931,mclaren,4,mercedes,,+12.491,24,+25.624,lando-norris,,7,2,pirelli,4
30:40.075,haas,1,ferrari,,+3.144,24,+28.768,kevin-magnussen,,8,1,pirelli,20
30:41.525,aston-martin,13,mercedes,,+1.450,24,+30.218,sebastian-vettel,,9,,pirelli,5
30:45.477,alphatauri,12,rbpt,,+3.952,24,+34.170,pierre-gasly,,10,,pirelli,10
30:50.702,mclaren,14,mercedes,,+5.225,24,+39.395,daniel-ricciardo,,11,,pirelli,3
30:52.466,haas,20,ferrari,,+1.764,24,+41.159,mick-schumacher,,12,,pirelli,47
30:53.070,alfa-romeo,17,ferrari,,+0.604,24,+41.763,guanyu-zhou,,13,,pirelli,24
30:53.645,alfa-romeo,18,ferrari,,+0.575,24,+42.338,valtteri-bottas,,14,,pirelli,77
31:01.613,alphatauri,19,rbpt,,+7.968,24,+50.306,yuki-tsunoda,,15,,pirelli,22
31:02.007,aston-martin,15,mercedes,10.000,+0.394,24,+50.700,lance-stroll,,16,,pirelli,18
31:03.063,alpine,6,renault,,+1.056,24,+51.756,esteban-ocon,,17,,pirelli,31
31:05.292,alpine,7,renault,5.000,+2.229,24,+53.985,fernando-alonso,,18,,pirelli,14
31:28.157,williams,16,mercedes,,+22.865,24,+1:16.850,nicholas-latifi,,19,,pirelli,6
,williams,11,mercedes,,,12,,alexander-albon,,DNF,,pirelli,23
