driverId,position,points
max-verstappen,1,454
charles-leclerc,2,308
sergio-perez,3,305
george-russell,4,275
carlos-sainz-jr,5,246
lewis-hamilton,6,240
lando-norris,7,122
esteban-ocon,8,92
fernando-alonso,9,81
valtteri-bottas,10,49
daniel-ricciardo,11,37
sebastian-vettel,12,37
kevin-magnussen,13,25
pierre-gasly,14,23
lance-stroll,15,18
mick-schumacher,16,12
yuki-tsunoda,17,12
guanyu-zhou,18,6
alexander-albon,19,4
nicholas-latifi,20,2
nyck-de-vries,21,2
nico-hulkenberg,22,0
