time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:24.982,red-bull,rbpt,,,15,sergio-perez,1,pirelli,11
1:25.134,red-bull,rbpt,+0.152,+0.152,15,max-verstappen,2,pirelli,1
1:25.222,mercedes,mercedes,+0.088,+0.240,20,lewis-hamilton,3,pirelli,44
1:25.395,mercedes,mercedes,+0.173,+0.413,15,george-russell,4,pirelli,63
1:25.518,mclaren,mercedes,+0.123,+0.536,16,lando-norris,5,pirelli,4
1:25.571,ferrari,ferrari,+0.053,+0.589,24,charles-leclerc,6,pirelli,16
1:25.605,ferrari,ferrari,+0.034,+0.623,23,carlos-sainz-jr,7,pirelli,55
1:25.950,mclaren,mercedes,+0.345,+0.968,18,daniel-ricciardo,8,pirelli,3
1:26.012,aston-martin,mercedes,+0.062,+1.030,13,sebastian-vettel,9,pirelli,5
1:26.051,williams,mercedes,+0.039,+1.069,16,alexander-albon,10,pirelli,23
1:26.073,alpine,renault,+0.022,+1.091,17,esteban-ocon,11,pirelli,31
1:26.076,alpine,renault,+0.003,+1.094,18,fernando-alonso,12,pirelli,14
1:26.170,alphatauri,rbpt,+0.094,+1.188,19,yuki-tsunoda,13,pirelli,22
1:26.189,alfa-romeo,ferrari,+0.019,+1.207,17,valtteri-bottas,14,pirelli,77
1:26.239,alphatauri,rbpt,+0.050,+1.257,12,pierre-gasly,15,pirelli,10
1:26.298,aston-martin,mercedes,+0.059,+1.316,20,lance-stroll,16,pirelli,18
1:26.356,haas,ferrari,+0.058,+1.374,21,kevin-magnussen,17,pirelli,20
1:26.473,haas,ferrari,+0.117,+1.491,19,mick-schumacher,18,pirelli,47
1:26.482,alfa-romeo,ferrari,+0.009,+1.500,17,guanyu-zhou,19,pirelli,24
1:26.646,williams,mercedes,+0.164,+1.664,14,nicholas-latifi,20,pirelli,6
