time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:20.504,red-bull,honda-rbpt,,,max-verstappen,1,pirelli,53,1
1:21.601,mercedes,mercedes,+1.097,+1.097,lewis-hamilton,2,pirelli,54,44
1:22.158,mercedes,mercedes,+0.557,+1.654,george-russell,3,pirelli,48,63
1:22.178,mclaren,mercedes,+0.020,+1.674,lando-norris,4,pirelli,50,4
1:22.295,red-bull,honda-rbpt,+0.117,+1.791,sergio-perez,5,pirelli,53,11
1:22.469,ferrari,ferrari,+0.174,+1.965,charles-leclerc,6,pirelli,50,16
1:22.584,ferrari,ferrari,+0.115,+2.080,carlos-sainz-jr,7,pirelli,54,55
1:22.736,mclaren,mercedes,+0.152,+2.232,oscar-piastri,8,pirelli,45,81
1:22.745,aston-martin,mercedes,+0.009,+2.241,fernando-alonso,9,pirelli,51,14
1:23.269,alphatauri,honda-rbpt,+0.524,+2.765,yuki-tsunoda,10,pirelli,68,22
1:23.425,aston-martin,mercedes,+0.156,+2.921,lance-stroll,11,pirelli,54,18
1:23.496,williams,mercedes,+0.071,+2.992,logan-sargeant,12,pirelli,36,2
1:23.573,haas,ferrari,+0.077,+3.069,nico-hulkenberg,13,pirelli,42,27
1:23.651,alfa-romeo,ferrari,+0.078,+3.147,valtteri-bottas,14,pirelli,42,77
1:23.743,alfa-romeo,ferrari,+0.092,+3.239,guanyu-zhou,15,pirelli,12,24
1:23.864,haas,ferrari,+0.121,+3.360,kevin-magnussen,16,pirelli,54,20
1:23.934,alphatauri,honda-rbpt,+0.070,+3.430,daniel-ricciardo,17,pirelli,67,3
1:24.051,williams,mercedes,+0.117,+3.547,alexander-albon,18,pirelli,54,23
