time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:35.867,mercedes,mercedes,,,lewis-hamilton,1,pirelli,47,44
1:36.273,mercedes,mercedes,+0.406,+0.406,george-russell,2,pirelli,46,63
1:36.456,aston-martin,mercedes,+0.183,+0.589,fernando-alonso,3,pirelli,47,14
1:36.575,red-bull,honda-rbpt,+0.119,+0.708,max-verstappen,4,pirelli,61,1
1:37.108,red-bull,honda-rbpt,+0.533,+1.241,sergio-perez,5,pirelli,61,11
1:37.342,williams,mercedes,+0.234,+1.475,alexander-albon,6,pirelli,46,23
1:37.666,ferrari,ferrari,+0.324,+1.799,carlos-sainz-jr,7,pirelli,47,55
1:38.046,mclaren,mercedes,+0.380,+2.179,lando-norris,8,pirelli,46,4
1:38.075,alfa-romeo,ferrari,+0.029,+2.208,valtteri-bottas,9,pirelli,51,77
1:38.107,haas,ferrari,+0.032,+2.240,kevin-magnussen,10,pirelli,48,20
1:38.275,ferrari,ferrari,+0.168,+2.408,charles-leclerc,11,pirelli,46,16
1:38.277,alpine,renault,+0.002,+2.410,pierre-gasly,12,pirelli,46,10
1:38.492,mclaren,mercedes,+0.215,+2.625,oscar-piastri,13,pirelli,46,81
1:38.531,williams,mercedes,+0.039,+2.664,logan-sargeant,14,pirelli,45,2
1:39.028,alphatauri,honda-rbpt,+0.497,+3.161,liam-lawson,15,pirelli,47,40
1:39.316,alfa-romeo,ferrari,+0.288,+3.449,guanyu-zhou,16,pirelli,46,24
1:39.923,haas,ferrari,+0.607,+4.056,nico-hulkenberg,17,pirelli,50,27
1:39.930,alpine,renault,+0.007,+4.063,esteban-ocon,18,pirelli,33,31
