time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:30.984,ferrari,ferrari,,carlos-sainz-jr,1,pirelli,55
1:31.056,mercedes,mercedes,,george-russell,2,pirelli,63
1:31.063,ferrari,ferrari,,charles-leclerc,3,pirelli,16
1:31.270,mclaren,mercedes,,lando-norris,4,pirelli,4
1:31.485,mercedes,mercedes,,lewis-hamilton,5,pirelli,44
1:31.575,haas,ferrari,,kevin-magnussen,6,pirelli,20
1:31.615,aston-martin,mercedes,,fernando-alonso,7,pirelli,14
1:31.673,alpine,renault,,esteban-ocon,8,pirelli,31
1:31.808,haas,ferrari,,nico-hulkenberg,9,pirelli,27
1:32.268,alphatauri,honda-rbpt,,liam-lawson,10,pirelli,40
1:32.173,red-bull,honda-rbpt,,max-verstappen,11,pirelli,1
1:32.274,alpine,renault,,pierre-gasly,12,pirelli,10
1:32.310,red-bull,honda-rbpt,,sergio-perez,13,pirelli,11
1:33.719,williams,mercedes,,alexander-albon,14,pirelli,23
,alphatauri,honda-rbpt,,yuki-tsunoda,15,pirelli,22
1:32.809,alfa-romeo,ferrari,,valtteri-bottas,16,pirelli,77
1:32.902,mclaren,mercedes,,oscar-piastri,17,pirelli,81
1:33.252,williams,mercedes,,logan-sargeant,18,pirelli,2
1:33.258,alfa-romeo,ferrari,SFB,guanyu-zhou,PL,pirelli,24
