time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:28.293,ferrari,ferrari,,,carlos-sainz-jr,1,pirelli,52,55
1:28.748,mclaren,mercedes,+0.455,+0.455,oscar-piastri,2,pirelli,51,81
1:28.952,red-bull,honda-rbpt,+0.204,+0.659,max-verstappen,3,pirelli,48,1
1:29.262,mclaren,mercedes,+0.310,+0.969,lando-norris,4,pirelli,43,4
1:29.438,mercedes,mercedes,+0.176,+1.145,lewis-hamilton,5,pirelli,45,44
1:29.707,red-bull,honda-rbpt,+0.269,+1.414,sergio-perez,6,pirelli,50,11
1:29.710,aston-martin,mercedes,+0.003,+1.417,fernando-alonso,7,pirelli,47,14
1:29.718,williams,mercedes,+0.008,+1.425,alexander-albon,8,pirelli,52,23
1:29.748,ferrari,ferrari,+0.030,+1.455,charles-leclerc,9,pirelli,43,16
1:29.836,haas,ferrari,+0.088,+1.543,nico-hulkenberg,10,pirelli,43,27
1:29.897,aston-martin,mercedes,+0.061,+1.604,lance-stroll,11,pirelli,46,18
1:29.972,williams,mercedes,+0.075,+1.679,logan-sargeant,12,pirelli,42,2
1:30.093,haas,ferrari,+0.121,+1.800,kevin-magnussen,13,pirelli,42,20
1:30.229,rb,honda-rbpt,+0.136,+1.936,yuki-tsunoda,14,pirelli,43,22
1:30.735,rb,honda-rbpt,+0.506,+2.442,daniel-ricciardo,15,pirelli,47,3
1:30.875,alpine,renault,+0.140,+2.582,esteban-ocon,16,pirelli,46,31
1:31.014,kick-sauber,ferrari,+0.139,+2.721,guanyu-zhou,17,pirelli,43,24
1:31.277,kick-sauber,ferrari,+0.263,+2.984,valtteri-bottas,18,pirelli,44,77
1:31.298,mercedes,mercedes,+0.021,+3.005,george-russell,19,pirelli,3,63
