driverId,position,points
max-verstappen,1,354
lando-norris,2,297
charles-leclerc,3,275
oscar-piastri,4,247
carlos-sainz-jr,5,215
lewis-hamilton,6,177
george-russell,7,167
sergio-perez,8,150
fernando-alonso,9,62
nico-hulkenberg,10,29
lance-stroll,11,24
yuki-tsunoda,12,22
alexander-albon,13,12
daniel-ricciardo,14,12
kevin-magnussen,15,8
pierre-gasly,16,8
oliver-bearman,17,7
franco-colapinto,18,5
esteban-ocon,19,5
liam-lawson,20,2
guanyu-zhou,21,0
logan-sargeant,22,0
valtteri-bottas,23,0
