driverId,position,points
max-verstappen,1,362
lando-norris,2,315
charles-leclerc,3,291
oscar-piastri,4,251
carlos-sainz-jr,5,240
lewis-hamilton,6,189
george-russell,7,177
sergio-perez,8,150
fernando-alonso,9,62
nico-hulkenberg,10,31
lance-stroll,11,24
yuki-tsunoda,12,22
kevin-magnussen,13,14
alexander-albon,14,12
daniel-ricciardo,15,12
pierre-gasly,16,9
oliver-bearman,17,7
franco-colapinto,18,5
esteban-ocon,19,5
liam-lawson,20,2
guanyu-zhou,21,0
logan-sargeant,22,0
valtteri-bottas,23,0
