time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
27.730,red-bull,honda-rbpt,1,sergio-perez,1,pirelli,20,11
43.730,red-bull,honda-rbpt,1,max-verstappen,2,pirelli,26,1
22.592,aston-martin,mercedes,1,lance-stroll,3,pirelli,26,18
22.538,mercedes,mercedes,1,lewis-hamilton,4,pirelli,28,44
23.204,alpine,renault,1,pierre-gasly,5,pirelli,28,10
23.077,haas,ferrari,1,nico-hulkenberg,6,pirelli,29,27
22.111,mclaren,mercedes,1,lando-norris,7,pirelli,30,4
23.332,haas,ferrari,1,kevin-magnussen,8,pirelli,30,20
22.860,ferrari,ferrari,1,charles-leclerc,9,pirelli,31,16
22.462,mercedes,mercedes,1,george-russell,10,pirelli,31,63
22.249,ferrari,ferrari,1,carlos-sainz-jr,11,pirelli,32,55
21.825,mclaren,mercedes,1,oscar-piastri,12,pirelli,39,81
22.586,rb,honda-rbpt,1,liam-lawson,13,pirelli,39,30
22.935,kick-sauber,ferrari,1,guanyu-zhou,14,pirelli,43,24
22.174,red-bull,honda-rbpt,2,sergio-perez,15,pirelli,43,11
23.895,williams,mercedes,1,franco-colapinto,16,pirelli,47,43
23.245,alpine,renault,1,esteban-ocon,17,pirelli,48,31
22.505,kick-sauber,ferrari,1,valtteri-bottas,18,pirelli,49,77
30.299,rb,honda-rbpt,2,liam-lawson,19,pirelli,65,30
22.690,ferrari,ferrari,2,charles-leclerc,20,pirelli,69,16
21.920,red-bull,honda-rbpt,3,sergio-perez,21,pirelli,68,11
