driverId,position,points
max-verstappen,1,403
lando-norris,2,340
charles-leclerc,3,319
oscar-piastri,4,268
carlos-sainz-jr,5,259
george-russell,6,217
lewis-hamilton,7,208
sergio-perez,8,152
fernando-alonso,9,62
nico-hulkenberg,10,35
yuki-tsunoda,11,30
pierre-gasly,12,26
lance-stroll,13,24
esteban-ocon,14,23
kevin-magnussen,15,14
alexander-albon,16,12
daniel-ricciardo,17,12
oliver-bearman,18,7
franco-colapinto,19,5
liam-lawson,20,4
guanyu-zhou,21,0
logan-sargeant,22,0
valtteri-bottas,23,0
