driverId,position,points
max-verstappen,1,429
lando-norris,2,349
charles-leclerc,3,341
oscar-piastri,4,291
carlos-sainz-jr,5,272
george-russell,6,235
lewis-hamilton,7,211
sergio-perez,8,152
fernando-alonso,9,68
nico-hulkenberg,10,37
pierre-gasly,11,36
yuki-tsunoda,12,30
lance-stroll,13,24
esteban-ocon,14,23
kevin-magnussen,15,16
alexander-albon,16,12
daniel-ricciardo,17,12
oliver-bearman,18,7
franco-colapinto,19,5
guanyu-zhou,20,4
liam-lawson,21,4
valtteri-bottas,22,0
logan-sargeant,23,0
